elapsed_s,timestamp,pressure_hpa,gps_accuracy_m,gps_speed_mps,mag_ut
1,2026-07-13T13:23:52Z,1006.10,14.25,3.55,24.63
2,2026-07-13T13:23:53Z,1006.08,14.25,3.36,19.78
3,2026-07-13T13:23:54Z,1006.05,14.25,3.64,20.39
4,2026-07-13T13:23:55Z,1006.03,14.25,3.75,19.75
5,2026-07-13T13:23:56Z,1006.02,14.25,4.27,20.32
6,2026-07-13T13:23:57Z,1006.00,14.25,4.27,19.49
7,2026-07-13T13:23:58Z,1005.99,14.25,4.09,18.89
8,2026-07-13T13:23:59Z,1005.98,14.25,4.21,17.84
9,2026-07-13T13:24:00Z,1005.96,14.25,4.29,17.82
10,2026-07-13T13:24:01Z,1005.95,14.25,3.93,19.30
11,2026-07-13T13:24:02Z,1005.93,14.25,3.56,18.73
12,2026-07-13T13:24:03Z,1005.92,14.25,2.73,19.97
13,2026-07-13T13:24:04Z,1005.92,14.25,2.98,23.22
14,2026-07-13T13:24:05Z,1005.91,14.25,2.61,23.53
15,2026-07-13T13:24:06Z,1005.90,14.25,2.84,21.08
16,2026-07-13T13:24:07Z,1005.89,14.25,2.55,20.34
17,2026-07-13T13:24:08Z,1005.87,14.25,1.77,35.35
18,2026-07-13T13:24:09Z,1005.86,14.25,1.42,34.23
19,2026-07-13T13:24:10Z,1005.85,14.25,1.18,33.86
20,2026-07-13T13:24:11Z,1005.85,14.25,0.00,33.93
21,2026-07-13T13:24:12Z,1005.85,14.25,0.00,33.52
22,2026-07-13T13:24:13Z,1005.85,14.25,0.39,33.14
23,2026-07-13T13:24:14Z,1005.85,14.25,0.81,32.54
24,2026-07-13T13:24:15Z,1005.85,14.25,0.81,33.63
25,2026-07-13T13:24:16Z,1005.85,14.25,0.81,33.07
26,2026-07-13T13:24:17Z,1005.85,14.25,0.81,32.41
27,2026-07-13T13:24:18Z,1005.84,14.25,2.18,33.27
28,2026-07-13T13:24:19Z,1005.83,14.25,2.15,34.22
29,2026-07-13T13:24:20Z,1005.82,14.25,2.08,32.64
30,2026-07-13T13:24:21Z,1005.82,14.25,1.38,31.92
31,2026-07-13T13:24:22Z,1005.82,14.25,1.15,32.99
32,2026-07-13T13:24:23Z,1005.84,14.25,1.15,34.08
33,2026-07-13T13:24:24Z,1005.87,14.25,3.16,31.75
34,2026-07-13T13:24:25Z,1005.90,14.25,4.47,31.98
35,2026-07-13T13:24:26Z,1005.94,14.25,5.64,30.30
36,2026-07-13T13:24:27Z,1005.99,14.25,5.63,29.34
37,2026-07-13T13:24:28Z,1006.04,14.25,5.40,31.34
38,2026-07-13T13:24:29Z,1006.10,14.25,5.66,30.71
39,2026-07-13T13:24:30Z,1006.15,14.25,5.11,29.79
40,2026-07-13T13:24:31Z,1006.20,14.25,4.14,29.66
41,2026-07-13T13:24:32Z,1006.25,14.25,3.57,33.55
42,2026-07-13T13:24:33Z,1006.30,14.25,3.18,24.29
43,2026-07-13T13:24:34Z,1006.35,14.25,2.67,18.21
44,2026-07-13T13:24:35Z,1006.39,14.25,2.14,18.20
45,2026-07-13T13:24:36Z,1006.43,14.25,1.28,28.82
46,2026-07-13T13:24:37Z,1006.46,14.25,1.28,34.49
47,2026-07-13T13:24:38Z,1006.48,14.25,0.00,34.00
48,2026-07-13T13:24:39Z,1006.49,14.25,0.07,33.63
49,2026-07-13T13:24:40Z,1006.50,14.25,0.00,33.57
50,2026-07-13T13:24:41Z,1006.50,14.25,0.00,33.61
51,2026-07-13T13:24:42Z,1006.51,14.25,0.00,33.54
52,2026-07-13T13:24:43Z,1006.51,14.25,0.00,33.35
53,2026-07-13T13:24:44Z,1006.51,14.25,0.00,33.34
54,2026-07-13T13:24:45Z,1006.51,14.25,0.00,33.51
55,2026-07-13T13:24:46Z,1006.51,14.25,0.00,33.17
56,2026-07-13T13:24:47Z,1006.51,14.25,0.00,33.04
57,2026-07-13T13:24:48Z,1006.52,14.25,0.00,33.29
58,2026-07-13T13:24:49Z,1006.52,14.25,0.00,33.48
59,2026-07-13T13:24:50Z,1006.52,14.25,0.00,33.33
60,2026-07-13T13:24:51Z,1006.52,14.25,0.00,33.65
61,2026-07-13T13:24:52Z,1006.52,14.25,0.00,33.28
62,2026-07-13T13:24:53Z,1006.52,14.25,0.00,33.58
63,2026-07-13T13:24:54Z,1006.52,14.25,0.00,33.24
64,2026-07-13T13:24:55Z,1006.52,14.25,0.00,33.47
65,2026-07-13T13:24:56Z,1006.51,14.25,0.00,33.76
66,2026-07-13T13:24:57Z,1006.50,14.25,0.00,33.47
67,2026-07-13T13:24:58Z,1006.49,14.25,0.00,33.89
68,2026-07-13T13:24:59Z,1006.49,14.25,0.00,33.61
69,2026-07-13T13:25:00Z,1006.49,14.25,0.37,24.52
70,2026-07-13T13:25:01Z,1006.49,14.25,1.58,23.87
71,2026-07-13T13:25:02Z,1006.50,14.25,2.24,22.09
72,2026-07-13T13:25:03Z,1006.51,14.25,2.99,15.24
73,2026-07-13T13:25:04Z,1006.52,14.25,3.19,14.66
74,2026-07-13T13:25:05Z,1006.52,14.25,2.31,17.83
75,2026-07-13T13:25:06Z,1006.52,14.25,1.36,14.55
76,2026-07-13T13:25:07Z,1006.51,14.25,1.36,18.28
77,2026-07-13T13:25:08Z,1006.49,14.25,3.51,20.76
78,2026-07-13T13:25:09Z,1006.46,14.25,5.48,22.86
79,2026-07-13T13:25:10Z,1006.41,14.25,6.57,22.51
80,2026-07-13T13:25:11Z,1006.37,14.25,6.98,22.11
81,2026-07-13T13:25:12Z,1006.32,14.25,6.95,25.36
82,2026-07-13T13:25:13Z,1006.27,14.25,6.87,23.36
83,2026-07-13T13:25:14Z,1006.22,14.25,7.11,22.46
84,2026-07-13T13:25:15Z,1006.18,14.25,6.70,20.33
85,2026-07-13T13:25:16Z,1006.14,14.25,6.27,15.71
86,2026-07-13T13:25:17Z,1006.11,14.25,5.06,13.39
87,2026-07-13T13:25:18Z,1006.09,14.25,4.61,10.63
88,2026-07-13T13:25:19Z,1006.07,14.25,4.07,12.03
89,2026-07-13T13:25:20Z,1006.04,14.25,4.29,9.67
90,2026-07-13T13:25:21Z,1006.01,14.25,5.67,12.96
91,2026-07-13T13:25:22Z,1005.99,14.25,6.39,13.54
92,2026-07-13T13:25:23Z,1005.96,14.25,7.91,13.70
93,2026-07-13T13:25:24Z,1005.92,14.25,8.75,12.74
94,2026-07-13T13:25:25Z,1005.88,14.25,9.53,14.99
95,2026-07-13T13:25:26Z,1005.84,14.25,9.36,14.26
96,2026-07-13T13:25:27Z,1005.80,14.25,8.80,12.03
97,2026-07-13T13:25:28Z,1005.78,14.25,8.39,9.31
98,2026-07-13T13:25:29Z,1005.77,14.25,8.60,10.00
99,2026-07-13T13:25:30Z,1005.75,14.25,8.40,13.65
100,2026-07-13T13:25:31Z,1005.72,14.25,8.47,11.96
101,2026-07-13T13:25:32Z,1005.68,14.25,8.86,14.64
102,2026-07-13T13:25:33Z,1005.60,14.25,9.03,10.33
103,2026-07-13T13:25:34Z,1005.51,14.25,9.62,12.01
104,2026-07-13T13:25:35Z,1005.42,14.25,9.30,9.57
105,2026-07-13T13:25:36Z,1005.32,14.25,8.69,8.97
106,2026-07-13T13:25:37Z,1005.22,14.25,7.85,10.22
107,2026-07-13T13:25:38Z,1005.12,14.25,7.49,11.11
108,2026-07-13T13:25:39Z,1005.04,14.25,6.96,10.90
109,2026-07-13T13:25:40Z,1004.96,14.25,6.32,11.48
110,2026-07-13T13:25:41Z,1004.89,14.25,5.36,11.52
111,2026-07-13T13:25:42Z,1004.83,14.25,4.69,13.18
112,2026-07-13T13:25:43Z,1004.76,14.25,4.69,12.55
113,2026-07-13T13:25:44Z,1004.71,14.25,3.32,11.69
114,2026-07-13T13:25:45Z,1004.66,14.25,2.58,11.94
115,2026-07-13T13:25:46Z,1004.62,14.25,1.45,12.54
116,2026-07-13T13:25:47Z,1004.60,14.25,0.52,12.00
117,2026-07-13T13:25:48Z,1004.58,14.25,0.28,12.01
118,2026-07-13T13:25:49Z,1004.57,14.25,0.11,12.56
119,2026-07-13T13:25:50Z,1004.56,14.25,0.00,12.57
120,2026-07-13T13:25:51Z,1004.56,14.25,0.00,12.66
121,2026-07-13T13:25:52Z,1004.56,14.25,0.00,13.54
122,2026-07-13T13:25:53Z,1004.55,14.25,0.00,13.08
123,2026-07-13T13:25:54Z,1004.54,14.25,0.00,11.77
124,2026-07-13T13:25:55Z,1004.54,14.25,0.16,12.84
125,2026-07-13T13:25:56Z,1004.53,14.25,0.08,13.55
126,2026-07-13T13:25:57Z,1004.53,14.25,0.27,12.79
127,2026-07-13T13:25:58Z,1004.53,14.25,0.04,13.57
128,2026-07-13T13:25:59Z,1004.53,14.25,0.00,12.08
129,2026-07-13T13:26:00Z,1004.53,14.25,0.00,11.66
130,2026-07-13T13:26:01Z,1004.54,14.25,0.00,16.14
131,2026-07-13T13:26:02Z,1004.54,14.25,0.00,12.59
132,2026-07-13T13:26:03Z,1004.54,14.25,0.37,12.73
133,2026-07-13T13:26:04Z,1004.54,14.25,0.00,12.06
134,2026-07-13T13:26:05Z,1004.55,14.25,0.12,11.65
135,2026-07-13T13:26:06Z,1004.55,14.25,0.00,11.89
136,2026-07-13T13:26:07Z,1004.55,14.25,0.00,11.89
137,2026-07-13T13:26:08Z,1004.56,14.25,0.00,11.93
138,2026-07-13T13:26:09Z,1004.56,14.25,0.00,12.02
139,2026-07-13T13:26:10Z,1004.56,14.25,0.00,11.91
140,2026-07-13T13:26:11Z,1004.56,14.25,0.00,13.36
141,2026-07-13T13:26:12Z,1004.56,14.25,0.14,12.87
142,2026-07-13T13:26:13Z,1004.56,14.25,0.14,13.43
143,2026-07-13T13:26:14Z,1004.56,14.25,0.00,12.00
144,2026-07-13T13:26:15Z,1004.56,14.25,0.00,11.14
145,2026-07-13T13:26:16Z,1004.56,14.25,0.00,10.96
146,2026-07-13T13:26:17Z,1004.56,14.25,0.07,11.17
147,2026-07-13T13:26:18Z,1004.56,14.25,0.00,13.81
148,2026-07-13T13:26:19Z,1004.56,14.25,0.57,14.30
149,2026-07-13T13:26:20Z,1004.54,14.25,0.97,15.73
150,2026-07-13T13:26:21Z,1004.53,14.25,2.30,16.89
151,2026-07-13T13:26:22Z,1004.49,14.25,3.66,18.86
152,2026-07-13T13:26:23Z,1004.45,14.25,4.01,15.45
153,2026-07-13T13:26:24Z,1004.40,14.25,4.67,15.97
154,2026-07-13T13:26:25Z,1004.34,14.25,4.97,17.64
155,2026-07-13T13:26:26Z,1004.28,14.25,5.93,16.81
156,2026-07-13T13:26:27Z,1004.23,14.25,7.32,17.21
157,2026-07-13T13:26:28Z,1004.18,14.25,9.36,17.21
158,2026-07-13T13:26:29Z,1004.15,14.25,8.68,15.87
159,2026-07-13T13:26:30Z,1004.10,14.25,8.45,25.97
160,2026-07-13T13:26:31Z,1004.05,14.25,8.92,25.51
161,2026-07-13T13:26:32Z,1003.98,14.25,10.47,26.12
162,2026-07-13T13:26:33Z,1003.92,14.25,10.41,24.90
163,2026-07-13T13:26:34Z,1003.84,14.25,10.08,23.74
164,2026-07-13T13:26:35Z,1003.75,14.25,9.71,23.95
165,2026-07-13T13:26:36Z,1003.67,14.25,9.55,21.71
166,2026-07-13T13:26:37Z,1003.60,14.25,9.20,20.60
167,2026-07-13T13:26:38Z,1003.51,14.25,9.11,19.38
168,2026-07-13T13:26:39Z,1003.43,14.25,8.66,18.09
169,2026-07-13T13:26:40Z,1003.35,14.25,7.89,14.80
170,2026-07-13T13:26:41Z,1003.29,14.25,7.43,12.48
171,2026-07-13T13:26:42Z,1003.23,14.25,7.87,12.03
172,2026-07-13T13:26:43Z,1003.20,14.25,8.07,15.50
