elapsed_s,timestamp,pressure_hpa,gps_accuracy_m,gps_speed_mps,mag_ut
1,2026-07-15T09:36:45Z,1007.62,6.04,0.56,28.02
2,2026-07-15T09:36:46Z,1007.62,6.07,0.53,26.85
3,2026-07-15T09:36:47Z,1007.61,6.10,0.19,30.78
4,2026-07-15T09:36:48Z,1007.61,6.15,0.13,31.69
5,2026-07-15T09:36:49Z,1007.60,6.31,0.00,32.21
6,2026-07-15T09:36:50Z,1007.60,6.49,0.00,32.21
7,2026-07-15T09:36:51Z,1007.59,6.68,0.00,31.92
8,2026-07-15T09:36:52Z,1007.59,6.60,0.00,31.96
9,2026-07-15T09:36:53Z,1007.61,6.66,0.00,32.27
10,2026-07-15T09:36:54Z,1007.61,6.74,0.00,31.00
11,2026-07-15T09:36:55Z,1007.62,7.41,0.12,31.67
12,2026-07-15T09:36:56Z,1007.64,7.98,0.00,30.89
13,2026-07-15T09:36:57Z,1007.64,8.21,0.28,29.09
14,2026-07-15T09:36:58Z,1007.66,8.17,0.83,24.47
15,2026-07-15T09:36:59Z,1007.67,8.17,0.83,19.31
16,2026-07-15T09:37:00Z,1007.69,8.38,0.00,27.75
17,2026-07-15T09:37:01Z,1007.70,8.52,1.42,19.66
18,2026-07-15T09:37:02Z,1007.70,8.88,1.63,33.79
19,2026-07-15T09:37:03Z,1007.68,9.13,2.09,39.77
20,2026-07-15T09:37:04Z,1007.67,9.41,2.65,42.01
21,2026-07-15T09:37:05Z,1007.67,9.63,3.60,42.98
22,2026-07-15T09:37:06Z,1007.67,9.78,4.68,54.42
23,2026-07-15T09:37:07Z,1007.67,9.88,4.77,45.59
24,2026-07-15T09:37:08Z,1007.69,9.89,4.95,39.89
25,2026-07-15T09:37:09Z,1007.69,9.95,4.90,36.30
26,2026-07-15T09:37:10Z,1007.69,10.51,4.94,36.94
27,2026-07-15T09:37:11Z,1007.69,10.64,5.02,38.08
28,2026-07-15T09:37:12Z,1007.69,11.44,5.70,33.95
29,2026-07-15T09:37:13Z,1007.68,11.96,5.98,51.90
30,2026-07-15T09:37:14Z,1007.68,12.49,6.32,48.39
31,2026-07-15T09:37:15Z,1007.68,12.84,6.25,38.93
32,2026-07-15T09:37:16Z,1007.69,13.07,5.34,38.28
33,2026-07-15T09:37:17Z,1007.69,13.29,6.00,40.90
34,2026-07-15T09:37:18Z,1007.69,13.45,5.32,39.39
35,2026-07-15T09:37:19Z,1007.69,13.60,5.91,38.72
36,2026-07-15T09:37:20Z,1007.69,13.71,5.41,41.90
37,2026-07-15T09:37:21Z,1007.69,13.79,5.39,39.43
38,2026-07-15T09:37:22Z,1007.69,13.85,5.79,44.30
39,2026-07-15T09:37:23Z,1007.70,14.04,6.66,51.00
40,2026-07-15T09:37:24Z,1007.71,14.13,7.21,44.85
41,2026-07-15T09:37:25Z,1007.71,14.17,6.34,51.22
42,2026-07-15T09:37:26Z,1007.72,14.19,6.00,46.38
43,2026-07-15T09:37:27Z,1007.73,14.20,5.48,45.04
44,2026-07-15T09:37:28Z,1007.73,14.21,5.12,42.82
45,2026-07-15T09:37:30Z,1007.73,14.23,8.27,40.01
46,2026-07-15T09:37:30Z,1007.73,14.23,8.27,35.71
47,2026-07-15T09:37:31Z,1007.73,14.24,8.49,34.79
48,2026-07-15T09:37:32Z,1007.72,14.24,8.57,44.10
49,2026-07-15T09:37:33Z,1007.72,14.24,9.05,41.25
50,2026-07-15T09:37:34Z,1007.71,14.24,8.86,44.45
51,2026-07-15T09:37:35Z,1007.71,14.25,8.65,43.42
52,2026-07-15T09:37:36Z,1007.70,14.25,8.32,48.18
53,2026-07-15T09:37:37Z,1007.70,14.25,8.27,40.13
54,2026-07-15T09:37:38Z,1007.71,14.25,8.46,43.84
55,2026-07-15T09:37:39Z,1007.71,14.25,8.50,46.67
56,2026-07-15T09:37:40Z,1007.71,14.25,8.53,48.69
57,2026-07-15T09:37:41Z,1007.72,14.25,7.98,46.69
