elapsed_s,timestamp,pressure_hpa,gps_accuracy_m,gps_speed_mps,mag_ut
1,2026-07-13T13:13:19Z,1003.22,25.00,1.36,6.75
2,2026-07-13T13:13:20Z,1003.24,25.00,1.36,10.61
3,2026-07-13T13:13:21Z,1003.25,25.00,1.15,11.72
4,2026-07-13T13:13:22Z,1003.26,25.00,0.78,20.20
5,2026-07-13T13:13:23Z,1003.26,25.00,0.78,16.25
6,2026-07-13T13:13:24Z,1003.27,25.00,0.82,19.87
7,2026-07-13T13:13:25Z,1003.27,25.00,0.84,25.53
8,2026-07-13T13:13:26Z,1003.28,25.00,0.84,25.10
9,2026-07-13T13:13:27Z,1003.28,25.00,2.13,30.38
10,2026-07-13T13:13:28Z,1003.30,25.00,4.55,34.45
11,2026-07-13T13:13:29Z,1003.31,25.00,5.86,34.79
12,2026-07-13T13:13:30Z,1003.33,25.00,5.86,32.80
13,2026-07-13T13:13:31Z,1003.35,25.00,5.62,34.39
14,2026-07-13T13:13:32Z,1003.40,25.00,5.45,32.15
15,2026-07-13T13:13:33Z,1003.41,25.00,4.90,43.41
16,2026-07-13T13:13:34Z,1003.42,25.00,2.79,31.50
17,2026-07-13T13:13:35Z,1003.45,25.00,2.79,31.30
18,2026-07-13T13:13:36Z,1003.48,25.00,1.72,38.21
19,2026-07-13T13:13:37Z,1003.49,25.00,0.11,40.30
20,2026-07-13T13:13:38Z,1003.55,25.00,0.61,40.48
21,2026-07-13T13:13:39Z,1003.58,25.00,0.46,38.48
22,2026-07-13T13:13:40Z,1003.57,25.00,0.02,39.81
23,2026-07-13T13:13:41Z,1003.54,25.00,0.46,39.79
24,2026-07-13T13:13:42Z,1003.50,25.00,1.02,40.05
25,2026-07-13T13:13:43Z,1003.46,25.00,2.16,41.15
26,2026-07-13T13:13:44Z,1003.41,25.00,5.12,41.05
27,2026-07-13T13:13:45Z,1003.36,25.00,5.68,40.23
28,2026-07-13T13:13:46Z,1003.29,25.00,5.68,40.01
29,2026-07-13T13:13:47Z,1003.24,25.00,5.68,38.93
30,2026-07-13T13:13:48Z,1003.20,25.00,5.60,36.53
31,2026-07-13T13:13:49Z,1003.17,25.00,4.21,33.36
32,2026-07-13T13:13:50Z,1003.15,25.00,4.21,31.47
33,2026-07-13T13:13:51Z,1003.15,25.00,4.21,33.22
34,2026-07-13T13:13:52Z,1003.15,25.00,4.66,36.19
35,2026-07-13T13:13:53Z,1003.13,25.00,5.81,36.22
36,2026-07-13T13:13:54Z,1003.11,25.00,6.69,39.31
