elapsed_s,timestamp,pressure_hpa,gps_accuracy_m,gps_speed_mps,mag_ut
1,2026-07-13T13:26:47Z,1002.86,8.94,11.91,35.81
2,2026-07-13T13:26:48Z,1002.79,8.98,12.47,38.04
3,2026-07-13T13:26:49Z,1002.73,8.50,12.15,36.76
4,2026-07-13T13:26:50Z,1002.69,8.27,11.87,37.72
5,2026-07-13T13:26:51Z,1002.65,8.68,12.32,36.18
6,2026-07-13T13:26:52Z,1002.63,8.36,12.41,35.66
7,2026-07-13T13:26:53Z,1002.56,10.46,12.40,33.53
8,2026-07-13T13:26:54Z,1002.50,9.27,12.21,35.50
9,2026-07-13T13:26:55Z,1002.50,11.75,11.88,37.55
10,2026-07-13T13:26:56Z,1002.44,11.60,10.87,43.17
11,2026-07-13T13:26:57Z,1002.39,10.23,9.74,41.52
12,2026-07-13T13:26:58Z,1002.34,9.46,8.91,415.13
13,2026-07-13T13:26:59Z,1002.33,10.80,8.15,403.35
14,2026-07-13T13:27:00Z,1002.32,10.23,7.05,415.24
15,2026-07-13T13:27:01Z,1002.31,9.59,5.71,445.80
16,2026-07-13T13:27:02Z,1002.29,9.78,0.00,472.07
17,2026-07-13T13:27:03Z,1002.27,9.43,3.26,480.10
18,2026-07-13T13:27:04Z,1002.26,9.55,1.77,432.90
19,2026-07-13T13:27:05Z,1002.25,9.33,0.71,408.96
20,2026-07-13T13:27:06Z,1002.25,9.61,0.06,400.66
21,2026-07-13T13:27:07Z,1002.24,9.43,0.00,399.99
22,2026-07-13T13:27:08Z,1002.24,9.48,0.00,399.83
23,2026-07-13T13:27:09Z,1002.24,9.52,0.00,399.87
24,2026-07-13T13:27:10Z,1002.24,9.39,0.00,399.45
25,2026-07-13T13:27:11Z,1002.23,9.48,0.00,399.13
26,2026-07-13T13:27:12Z,1002.23,9.66,0.00,399.02
27,2026-07-13T13:27:13Z,1002.23,9.69,0.00,398.29
28,2026-07-13T13:27:14Z,1002.23,9.75,0.00,398.64
29,2026-07-13T13:27:15Z,1002.23,9.65,0.00,394.46
30,2026-07-13T13:27:16Z,1002.23,9.56,0.00,382.35
31,2026-07-13T13:27:18Z,1002.22,9.52,0.00,288.86
32,2026-07-13T13:27:18Z,1002.22,9.52,0.00,288.26
33,2026-07-13T13:27:19Z,1002.22,9.45,0.00,133.03
34,2026-07-13T13:27:20Z,1002.21,9.37,0.05,126.81
35,2026-07-13T13:27:21Z,1002.21,9.30,0.70,123.86
36,2026-07-13T13:27:22Z,1002.21,9.24,1.82,222.39
37,2026-07-13T13:27:23Z,1002.20,9.33,2.76,187.85
38,2026-07-13T13:27:24Z,1002.20,9.26,3.72,179.77
39,2026-07-13T13:27:25Z,1002.20,9.20,4.34,151.48
40,2026-07-13T13:27:26Z,1002.17,9.30,4.79,196.07
41,2026-07-13T13:27:27Z,1002.15,9.23,4.28,136.63
42,2026-07-13T13:27:28Z,1002.11,9.19,5.03,148.53
43,2026-07-13T13:27:29Z,1002.07,9.27,6.19,97.03
44,2026-07-13T13:27:30Z,1002.02,9.18,6.97,34.49
45,2026-07-13T13:27:31Z,1001.97,9.02,7.75,26.64
46,2026-07-13T13:27:32Z,1001.92,9.06,8.28,12.29
47,2026-07-13T13:27:33Z,1001.87,8.71,8.62,40.70
48,2026-07-13T13:27:34Z,1001.81,8.48,8.81,35.19
49,2026-07-13T13:27:35Z,1001.75,8.58,9.25,25.24
50,2026-07-13T13:27:36Z,1001.70,8.34,9.76,51.91
51,2026-07-13T13:27:37Z,1001.64,8.18,10.20,34.60
52,2026-07-13T13:27:38Z,1001.56,8.10,10.74,33.64
53,2026-07-13T13:27:39Z,1001.49,9.94,10.18,36.10
54,2026-07-13T13:27:40Z,1001.44,10.92,10.02,23.14
55,2026-07-13T13:27:41Z,1001.44,9.71,9.95,20.04
56,2026-07-13T13:27:42Z,1001.37,11.62,9.73,23.70
57,2026-07-13T13:27:43Z,1001.31,10.04,10.02,20.49
58,2026-07-13T13:27:44Z,1001.27,10.37,10.23,20.16
59,2026-07-13T13:27:45Z,1001.22,9.42,10.02,21.97
60,2026-07-13T13:27:46Z,1001.17,9.54,9.42,21.72
61,2026-07-13T13:27:47Z,1001.13,8.90,8.90,13.07
62,2026-07-13T13:27:48Z,1001.08,8.54,8.71,13.95
63,2026-07-13T13:27:49Z,1001.03,8.32,8.60,14.42
64,2026-07-13T13:27:50Z,1000.98,8.63,8.29,13.86
65,2026-07-13T13:27:51Z,1000.93,10.01,7.94,18.91
66,2026-07-13T13:27:52Z,1000.88,12.61,7.99,30.97
67,2026-07-13T13:27:53Z,1000.82,11.43,8.14,26.73
68,2026-07-13T13:27:54Z,1000.76,10.24,8.29,27.50
69,2026-07-13T13:27:56Z,1000.69,10.70,8.02,25.61
70,2026-07-13T13:27:56Z,1000.69,10.70,8.02,22.97
71,2026-07-13T13:27:57Z,1000.63,12.22,7.87,20.02
72,2026-07-13T13:27:58Z,1000.57,10.65,7.98,21.51
73,2026-07-13T13:27:59Z,1000.51,9.60,8.21,21.98
74,2026-07-13T13:28:00Z,1000.46,10.00,8.21,22.19
75,2026-07-13T13:28:01Z,1000.40,10.12,8.15,20.49
