elapsed_s,timestamp,pressure_hpa,gps_accuracy_m,gps_speed_mps,mag_ut
1,2026-07-13T13:14:57Z,1003.15,14.25,0.19,35.76
2,2026-07-13T13:14:58Z,1003.14,14.25,0.24,35.47
3,2026-07-13T13:14:59Z,1003.13,14.25,0.26,35.64
4,2026-07-13T13:15:00Z,1003.13,14.25,0.29,36.12
5,2026-07-13T13:15:01Z,1003.13,14.25,0.42,35.95
6,2026-07-13T13:15:02Z,1003.13,14.25,0.36,36.00
7,2026-07-13T13:15:03Z,1003.13,14.25,0.08,36.23
8,2026-07-13T13:15:04Z,1003.13,14.25,0.07,33.49
9,2026-07-13T13:15:05Z,1003.13,14.25,0.09,31.50
10,2026-07-13T13:15:06Z,1003.13,14.25,0.09,31.46
11,2026-07-13T13:15:07Z,1003.12,14.25,0.09,31.12
12,2026-07-13T13:15:08Z,1003.11,14.25,0.11,31.08
13,2026-07-13T13:15:09Z,1003.11,14.25,0.04,31.01
14,2026-07-13T13:15:10Z,1003.11,14.25,0.00,31.16
15,2026-07-13T13:15:11Z,1003.10,14.25,0.41,31.09
16,2026-07-13T13:15:12Z,1003.10,14.25,0.08,31.01
17,2026-07-13T13:15:13Z,1003.10,14.25,0.10,31.05
18,2026-07-13T13:15:14Z,1003.10,14.25,0.10,30.90
19,2026-07-13T13:15:15Z,1003.10,14.25,0.08,30.84
20,2026-07-13T13:15:16Z,1003.10,14.25,0.08,30.84
21,2026-07-13T13:15:17Z,1003.11,14.25,0.04,30.97
22,2026-07-13T13:15:18Z,1003.11,14.25,0.05,30.88
23,2026-07-13T13:15:19Z,1003.11,14.25,0.05,30.81
24,2026-07-13T13:15:20Z,1003.11,14.25,0.00,30.85
25,2026-07-13T13:15:21Z,1003.11,14.25,0.03,30.89
26,2026-07-13T13:15:22Z,1003.12,14.25,0.03,30.96
27,2026-07-13T13:15:23Z,1003.12,14.25,0.11,30.97
28,2026-07-13T13:15:24Z,1003.12,14.25,0.04,30.75
29,2026-07-13T13:15:25Z,1003.12,14.25,0.00,30.78
30,2026-07-13T13:15:26Z,1003.12,14.25,0.00,30.78
31,2026-07-13T13:15:27Z,1003.12,24.70,0.00,30.65
32,2026-07-13T13:15:28Z,1003.10,22.69,0.00,30.84
33,2026-07-13T13:15:29Z,1003.10,22.69,0.00,30.71
34,2026-07-13T13:15:30Z,1003.10,40.00,0.00,30.79
35,2026-07-13T13:15:31Z,1003.10,22.55,0.00,30.70
36,2026-07-13T13:15:32Z,1003.11,22.96,0.00,30.84
37,2026-07-13T13:15:33Z,1003.11,22.90,0.00,30.72
38,2026-07-13T13:15:34Z,1003.11,22.89,0.00,30.77
39,2026-07-13T13:15:35Z,1003.11,22.89,0.00,31.20
40,2026-07-13T13:15:36Z,1003.11,22.97,0.00,30.59
41,2026-07-13T13:15:37Z,1003.11,22.94,0.00,30.91
42,2026-07-13T13:15:38Z,1003.10,22.92,0.00,31.42
43,2026-07-13T13:15:39Z,1003.10,22.90,0.00,31.40
44,2026-07-13T13:15:40Z,1003.10,22.97,0.00,31.23
45,2026-07-13T13:15:41Z,1003.10,22.86,0.00,31.23
46,2026-07-13T13:15:42Z,1003.10,22.73,0.00,31.02
47,2026-07-13T13:15:43Z,1003.10,22.73,0.00,30.92
48,2026-07-13T13:15:44Z,1003.10,22.61,0.00,30.87
49,2026-07-13T13:15:45Z,1003.10,22.61,0.00,30.88
50,2026-07-13T13:15:46Z,1003.10,22.61,0.00,37.38
51,2026-07-13T13:15:47Z,1003.10,22.35,0.00,39.55
52,2026-07-13T13:15:48Z,1003.10,21.77,0.21,37.04
53,2026-07-13T13:15:49Z,1003.10,21.77,0.94,38.42
54,2026-07-13T13:15:50Z,1003.10,21.84,1.73,34.91
55,2026-07-13T13:15:51Z,1003.10,22.53,1.73,29.93
56,2026-07-13T13:15:52Z,1003.08,21.77,3.15,27.26
57,2026-07-13T13:15:53Z,1003.05,21.77,4.47,25.20
58,2026-07-13T13:15:54Z,1003.02,22.62,4.47,26.31
59,2026-07-13T13:15:55Z,1003.00,22.64,4.47,26.97
