elapsed_s,timestamp,pressure_hpa,gps_accuracy_m,gps_speed_mps,mag_ut
1,2026-07-10T19:15:01Z,1006.30,14.25,11.28,44.40
2,2026-07-10T19:15:02Z,1006.30,14.25,11.39,44.07
3,2026-07-10T19:15:03Z,1006.31,14.25,10.93,42.36
4,2026-07-10T19:15:04Z,1006.30,14.25,11.38,39.14
5,2026-07-10T19:15:05Z,1006.30,14.25,10.88,39.63
6,2026-07-10T19:15:06Z,1006.30,14.25,11.43,40.36
7,2026-07-10T19:15:07Z,1006.30,14.25,10.95,39.26
8,2026-07-10T19:15:08Z,1006.28,14.25,10.93,39.87
9,2026-07-10T19:15:09Z,1006.31,14.25,11.47,40.57
10,2026-07-10T19:15:10Z,1006.28,14.25,10.88,43.33
11,2026-07-10T19:15:11Z,1006.30,14.25,10.74,45.18
12,2026-07-10T19:15:12Z,1006.31,14.25,11.17,44.96
13,2026-07-10T19:15:13Z,1006.30,14.25,10.93,47.38
14,2026-07-10T19:15:14Z,1006.30,14.25,10.59,45.17
15,2026-07-10T19:15:15Z,1006.30,14.25,11.36,48.37
16,2026-07-10T19:15:16Z,1006.29,14.25,10.45,46.42
17,2026-07-10T19:15:17Z,1006.30,14.25,11.17,46.01
18,2026-07-10T19:15:18Z,1006.30,14.25,10.92,44.42
19,2026-07-10T19:15:19Z,1006.31,14.25,11.20,42.67
20,2026-07-10T19:15:20Z,1006.30,14.25,11.03,43.76
21,2026-07-10T19:15:21Z,1006.31,14.25,11.10,42.22
22,2026-07-10T19:15:22Z,1006.30,14.25,11.41,40.06
23,2026-07-10T19:15:23Z,1006.29,14.25,11.09,40.38
24,2026-07-10T19:15:24Z,1006.31,14.25,10.32,46.52
25,2026-07-10T19:15:25Z,1006.31,14.25,11.27,47.61
26,2026-07-10T19:15:26Z,1006.29,14.25,10.66,45.80
27,2026-07-10T19:15:27Z,1006.29,14.25,11.41,47.43
28,2026-07-10T19:15:28Z,1006.31,14.25,10.98,45.94
29,2026-07-10T19:15:29Z,1006.30,14.25,10.67,44.98
30,2026-07-10T19:15:30Z,1006.29,14.25,11.30,46.70
31,2026-07-10T19:15:31Z,1006.29,14.25,10.31,45.91
32,2026-07-10T19:15:32Z,1006.30,14.25,9.23,43.96
33,2026-07-10T19:15:33Z,1006.31,14.25,8.65,45.42
34,2026-07-10T19:15:34Z,1006.31,14.25,8.02,42.89
35,2026-07-10T19:15:35Z,1006.29,14.25,7.44,37.43
36,2026-07-10T19:15:36Z,1006.31,14.25,6.46,37.75
37,2026-07-10T19:15:37Z,1006.30,14.25,5.95,41.23
38,2026-07-10T19:15:38Z,1006.31,14.25,4.71,41.91
39,2026-07-10T19:15:39Z,1006.30,14.25,3.45,43.24
40,2026-07-10T19:15:40Z,1006.29,14.25,2.88,41.46
41,2026-07-10T19:15:41Z,1006.29,14.25,2.16,45.45
42,2026-07-10T19:15:42Z,1006.31,14.25,1.71,43.35
43,2026-07-10T19:15:43Z,1006.30,14.25,0.94,45.95
44,2026-07-10T19:15:44Z,1006.30,14.25,0.00,43.94
45,2026-07-10T19:15:45Z,1006.30,14.25,0.01,40.02
46,2026-07-10T19:15:46Z,1006.30,14.25,0.00,39.81
47,2026-07-10T19:15:47Z,1006.30,14.25,0.00,36.40
48,2026-07-10T19:15:48Z,1006.31,14.25,0.04,33.58
49,2026-07-10T19:15:49Z,1006.30,14.25,0.00,33.90
50,2026-07-10T19:15:50Z,1006.31,14.25,0.31,32.69
51,2026-07-10T19:15:51Z,1006.29,14.25,0.00,36.32
52,2026-07-10T19:15:52Z,1006.30,14.25,0.00,36.53
53,2026-07-10T19:15:53Z,1006.30,14.25,0.00,38.08
54,2026-07-10T19:15:54Z,1006.29,14.25,0.00,38.27
55,2026-07-10T19:15:55Z,1006.29,14.25,0.00,35.06
56,2026-07-10T19:15:56Z,1006.30,14.25,0.00,37.35
57,2026-07-10T19:15:57Z,1006.30,14.25,0.00,39.91
58,2026-07-10T19:15:58Z,1006.31,14.25,0.00,40.14
59,2026-07-10T19:15:59Z,1006.29,14.25,0.00,44.29
60,2026-07-10T19:16:00Z,1006.30,14.25,0.00,43.93
