elapsed_s,timestamp,pressure_hpa,gps_accuracy_m,gps_speed_mps,mag_ut
1,2026-07-10T17:40:01Z,999.80,4.75,14.03,53.05
2,2026-07-10T17:40:02Z,999.79,4.75,13.64,48.98
3,2026-07-10T17:40:03Z,999.79,21.77,13.86,54.24
4,2026-07-10T17:40:04Z,999.78,21.77,14.09,629.25
5,2026-07-10T17:40:05Z,999.77,21.77,13.71,373.52
6,2026-07-10T17:40:06Z,999.77,21.77,13.41,213.99
7,2026-07-10T17:40:07Z,999.75,21.77,13.56,88.21
8,2026-07-10T17:40:08Z,999.76,21.77,14.21,56.09
9,2026-07-10T17:40:09Z,999.74,21.77,14.30,59.11
10,2026-07-10T17:40:10Z,999.75,21.77,14.07,501.41
11,2026-07-10T17:40:11Z,999.73,21.77,14.09,302.51
12,2026-07-10T17:40:12Z,999.73,21.77,14.28,142.23
13,2026-07-10T17:40:13Z,999.72,21.77,13.62,34.79
14,2026-07-10T17:40:14Z,999.72,21.77,13.68,52.78
15,2026-07-10T17:40:15Z,999.71,8.00,13.50,52.04
16,2026-07-10T17:40:16Z,999.70,8.00,13.93,56.59
17,2026-07-10T17:40:17Z,999.69,8.00,13.94,45.98
18,2026-07-10T17:40:18Z,999.70,8.00,14.12,51.47
19,2026-07-10T17:40:19Z,999.69,8.00,13.61,51.63
20,2026-07-10T17:40:20Z,999.68,8.00,14.09,47.74
21,2026-07-10T17:40:21Z,999.68,8.00,13.98,55.04
22,2026-07-10T17:40:22Z,999.67,8.00,13.93,57.91
23,2026-07-10T17:40:23Z,999.66,8.00,14.00,56.12
24,2026-07-10T17:40:24Z,999.65,8.00,14.19,60.05
25,2026-07-10T17:40:25Z,999.65,8.00,13.51,57.30
26,2026-07-10T17:40:26Z,999.66,8.00,14.14,62.66
27,2026-07-10T17:40:27Z,999.63,8.00,14.09,63.64
28,2026-07-10T17:40:28Z,999.63,8.00,14.23,61.91
29,2026-07-10T17:40:29Z,999.63,8.00,14.60,54.44
30,2026-07-10T17:40:30Z,999.61,8.00,13.95,51.93
31,2026-07-10T17:40:31Z,999.62,8.00,14.31,51.73
32,2026-07-10T17:40:32Z,999.62,8.00,14.28,54.01
33,2026-07-10T17:40:33Z,999.60,8.00,14.39,57.25
34,2026-07-10T17:40:34Z,999.60,8.00,14.61,56.47
35,2026-07-10T17:40:35Z,999.60,8.00,14.61,59.57
36,2026-07-10T17:40:36Z,999.59,8.00,14.48,60.05
37,2026-07-10T17:40:37Z,999.56,8.00,14.72,64.00
38,2026-07-10T17:40:38Z,999.57,8.00,14.78,64.48
39,2026-07-10T17:40:39Z,999.57,8.00,14.74,58.48
40,2026-07-10T17:40:40Z,999.56,8.00,14.59,56.76
41,2026-07-10T17:40:41Z,999.55,8.00,15.01,56.38
42,2026-07-10T17:40:42Z,999.55,8.00,14.83,58.21
43,2026-07-10T17:40:43Z,999.54,8.00,14.80,57.48
44,2026-07-10T17:40:44Z,999.53,8.00,14.82,60.48
45,2026-07-10T17:40:45Z,999.53,8.00,14.87,53.28
46,2026-07-10T17:40:46Z,999.52,8.00,14.23,47.96
47,2026-07-10T17:40:47Z,999.51,8.00,12.69,52.89
48,2026-07-10T17:40:48Z,999.53,8.00,11.25,55.89
49,2026-07-10T17:40:49Z,999.51,8.00,9.95,46.87
50,2026-07-10T17:40:50Z,999.50,8.00,8.82,46.54
51,2026-07-10T17:40:51Z,999.48,8.00,7.58,42.00
52,2026-07-10T17:40:52Z,999.48,8.00,6.48,44.13
53,2026-07-10T17:40:53Z,999.49,8.00,4.68,48.06
54,2026-07-10T17:40:54Z,999.47,8.00,5.06,51.35
55,2026-07-10T17:40:55Z,999.47,8.00,5.11,51.87
56,2026-07-10T17:40:56Z,999.46,8.00,5.42,56.35
57,2026-07-10T17:40:57Z,999.45,8.00,5.18,56.10
58,2026-07-10T17:40:58Z,999.46,8.00,5.42,62.17
59,2026-07-10T17:40:59Z,999.45,8.00,5.22,54.00
60,2026-07-10T17:41:00Z,999.43,8.00,6.26,51.70
61,2026-07-10T17:41:01Z,999.44,8.00,5.76,53.09
62,2026-07-10T17:41:02Z,999.44,8.00,5.88,55.13
63,2026-07-10T17:41:03Z,999.43,8.00,6.64,61.12
