elapsed_s,timestamp,pressure_hpa,gps_accuracy_m,gps_speed_mps,mag_ut
1,2026-07-10T20:20:01Z,1004.19,8.00,10.35,43.34
2,2026-07-10T20:20:02Z,1004.21,8.00,10.04,45.90
3,2026-07-10T20:20:03Z,1004.19,8.00,9.79,47.91
4,2026-07-10T20:20:04Z,1004.20,8.00,10.36,48.76
5,2026-07-10T20:20:05Z,1004.19,8.00,9.98,49.26
6,2026-07-10T20:20:06Z,1004.20,8.00,10.00,50.95
7,2026-07-10T20:20:07Z,1004.19,8.00,10.23,55.89
8,2026-07-10T20:20:08Z,1004.19,8.00,9.80,52.04
9,2026-07-10T20:20:09Z,1004.20,8.00,10.29,50.25
10,2026-07-10T20:20:10Z,1004.20,8.00,9.52,49.62
11,2026-07-10T20:20:11Z,1004.20,8.00,10.21,50.32
12,2026-07-10T20:20:12Z,1004.21,8.00,10.18,51.30
13,2026-07-10T20:20:13Z,1004.19,8.00,9.87,47.57
14,2026-07-10T20:20:14Z,1004.20,8.00,9.85,48.50
15,2026-07-10T20:20:15Z,1004.20,8.00,9.55,47.16
16,2026-07-10T20:20:16Z,1004.21,8.00,10.21,49.81
17,2026-07-10T20:20:17Z,1004.21,8.00,9.84,45.09
18,2026-07-10T20:20:18Z,1004.20,8.00,9.88,47.99
19,2026-07-10T20:20:19Z,1004.20,8.00,9.88,51.20
20,2026-07-10T20:20:20Z,1004.20,8.00,9.84,52.28
21,2026-07-10T20:20:21Z,1004.21,8.00,9.85,52.16
22,2026-07-10T20:20:22Z,1004.21,8.00,9.78,50.43
23,2026-07-10T20:20:23Z,1004.20,8.00,9.76,49.21
24,2026-07-10T20:20:24Z,1004.20,8.00,9.92,49.98
25,2026-07-10T20:20:25Z,1004.21,8.00,9.78,50.10
26,2026-07-10T20:20:26Z,1004.21,8.00,9.81,50.69
27,2026-07-10T20:20:27Z,1004.20,8.00,10.28,51.20
28,2026-07-10T20:20:28Z,1004.20,8.00,10.20,50.57
29,2026-07-10T20:20:29Z,1004.19,8.00,9.73,47.41
30,2026-07-10T20:20:30Z,1004.21,8.00,10.08,50.13
31,2026-07-10T20:20:31Z,1004.20,8.00,9.35,51.37
32,2026-07-10T20:20:32Z,1004.20,8.00,8.05,48.67
33,2026-07-10T20:20:33Z,1004.21,8.00,7.47,49.94
34,2026-07-10T20:20:34Z,1004.20,8.00,6.67,48.47
35,2026-07-10T20:20:35Z,1004.21,8.00,5.68,49.18
36,2026-07-10T20:20:36Z,1004.18,8.00,4.84,48.68
37,2026-07-10T20:20:37Z,1004.19,8.00,4.14,46.20
38,2026-07-10T20:20:38Z,1004.19,8.00,3.32,44.87
39,2026-07-10T20:20:39Z,1004.20,8.00,2.22,47.71
40,2026-07-10T20:20:40Z,1004.20,8.00,1.62,43.84
41,2026-07-10T20:20:41Z,1004.20,8.00,0.87,46.19
42,2026-07-10T20:20:42Z,1004.20,8.00,0.00,46.34
43,2026-07-10T20:20:43Z,1004.19,8.00,0.00,47.81
44,2026-07-10T20:20:44Z,1004.19,8.00,0.00,45.80
45,2026-07-10T20:20:45Z,1004.20,8.00,0.14,49.83
46,2026-07-10T20:20:46Z,1004.20,8.00,0.27,49.11
47,2026-07-10T20:20:47Z,1004.20,8.00,0.00,48.08
48,2026-07-10T20:20:48Z,1004.20,8.00,0.20,48.71
49,2026-07-10T20:20:49Z,1004.20,8.00,0.00,46.04
50,2026-07-10T20:20:50Z,1004.22,8.00,0.18,45.47
51,2026-07-10T20:20:51Z,1004.20,8.00,0.53,45.66
52,2026-07-10T20:20:52Z,1004.19,8.00,0.00,46.41
53,2026-07-10T20:20:53Z,1004.20,8.00,0.00,46.91
54,2026-07-10T20:20:54Z,1004.20,8.00,0.04,47.22
55,2026-07-10T20:20:55Z,1004.19,8.00,0.00,46.37
56,2026-07-10T20:20:56Z,1004.19,8.00,0.00,376.16
57,2026-07-10T20:20:57Z,1004.19,8.00,0.00,207.29
58,2026-07-10T20:20:58Z,1004.20,8.00,0.00,102.98
59,2026-07-10T20:20:59Z,1004.19,8.00,0.79,60.29
60,2026-07-10T20:21:00Z,1004.20,8.00,2.09,53.28
61,2026-07-10T20:21:01Z,1004.20,8.00,2.40,49.55
62,2026-07-10T20:21:02Z,1004.20,8.00,4.09,51.94
63,2026-07-10T20:21:03Z,1004.20,8.00,4.52,52.61
64,2026-07-10T20:21:04Z,1004.21,8.00,4.97,48.19
65,2026-07-10T20:21:05Z,1004.21,8.00,5.84,50.03
66,2026-07-10T20:21:06Z,1004.21,8.00,6.84,46.40
67,2026-07-10T20:21:07Z,1004.20,8.00,8.01,46.30
68,2026-07-10T20:21:08Z,1004.20,8.00,9.18,50.79
69,2026-07-10T20:21:09Z,1004.20,8.00,8.63,49.14
70,2026-07-10T20:21:10Z,1004.21,8.00,8.83,46.40
71,2026-07-10T20:21:11Z,1004.18,8.00,8.88,47.74
72,2026-07-10T20:21:12Z,1004.20,8.00,9.04,46.12
73,2026-07-10T20:21:13Z,1004.20,8.00,9.24,46.89
74,2026-07-10T20:21:14Z,1004.20,8.00,8.79,47.93
75,2026-07-10T20:21:15Z,1004.20,8.00,8.90,45.98
76,2026-07-10T20:21:16Z,1004.21,8.00,8.76,43.27
77,2026-07-10T20:21:17Z,1004.21,8.00,8.83,48.76
