elapsed_s,timestamp,pressure_hpa,gps_accuracy_m,gps_speed_mps,mag_ut
1,2026-07-10T20:55:01Z,998.90,9.06,7.76,53.42
2,2026-07-10T20:55:02Z,998.90,9.06,8.27,57.29
3,2026-07-10T20:55:03Z,998.90,9.06,7.95,59.14
4,2026-07-10T20:55:04Z,998.89,9.06,7.74,64.95
5,2026-07-10T20:55:05Z,998.90,9.06,8.17,56.25
6,2026-07-10T20:55:06Z,998.90,9.06,7.93,55.51
7,2026-07-10T20:55:07Z,998.91,9.06,7.83,57.55
8,2026-07-10T20:55:08Z,998.90,9.06,8.23,61.95
9,2026-07-10T20:55:09Z,998.89,9.06,8.01,57.19
10,2026-07-10T20:55:10Z,998.89,9.06,8.31,60.15
11,2026-07-10T20:55:11Z,998.89,9.06,8.01,54.32
12,2026-07-10T20:55:12Z,998.90,9.06,7.96,52.01
13,2026-07-10T20:55:13Z,998.89,9.06,8.39,48.41
14,2026-07-10T20:55:14Z,998.91,9.06,8.18,47.98
15,2026-07-10T20:55:15Z,998.89,9.06,8.11,52.08
16,2026-07-10T20:55:16Z,998.89,9.06,8.03,45.36
17,2026-07-10T20:55:17Z,998.90,9.06,8.16,45.00
18,2026-07-10T20:55:18Z,998.89,9.06,7.94,48.91
19,2026-07-10T20:55:19Z,998.90,9.06,7.95,45.45
20,2026-07-10T20:55:20Z,998.90,9.06,8.32,47.14
21,2026-07-10T20:55:21Z,998.91,9.06,8.30,46.56
22,2026-07-10T20:55:22Z,998.90,9.06,8.15,50.31
23,2026-07-10T20:55:23Z,998.91,9.06,8.07,45.73
24,2026-07-10T20:55:24Z,998.91,9.06,7.99,50.98
25,2026-07-10T20:55:25Z,998.91,9.06,7.94,56.28
26,2026-07-10T20:55:26Z,998.90,9.06,7.53,56.48
27,2026-07-10T20:55:27Z,998.88,9.06,7.93,52.43
28,2026-07-10T20:55:28Z,998.89,9.06,7.68,52.41
29,2026-07-10T20:55:29Z,998.90,9.06,7.42,59.41
30,2026-07-10T20:55:30Z,998.90,9.06,7.98,54.75
31,2026-07-10T20:55:31Z,998.90,9.06,8.06,53.19
32,2026-07-10T20:55:32Z,998.90,9.06,7.56,54.88
33,2026-07-10T20:55:33Z,998.90,9.06,7.97,54.90
34,2026-07-10T20:55:34Z,998.91,9.06,8.00,55.33
35,2026-07-10T20:55:35Z,998.90,9.06,8.05,60.01
36,2026-07-10T20:55:36Z,998.90,9.06,7.75,60.04
