elapsed_s,timestamp,pressure_hpa,gps_accuracy_m,gps_speed_mps,mag_ut
1,2026-07-10T18:45:01Z,1001.30,9.99,7.22,47.92
2,2026-07-10T18:45:02Z,1001.29,9.99,7.13,54.25
3,2026-07-10T18:45:03Z,1001.28,9.99,7.11,50.66
4,2026-07-10T18:45:04Z,1001.27,9.99,7.00,49.80
5,2026-07-10T18:45:05Z,1001.26,9.99,6.82,46.95
6,2026-07-10T18:45:06Z,1001.26,9.99,6.87,46.24
7,2026-07-10T18:45:07Z,1001.26,9.99,6.91,48.42
8,2026-07-10T18:45:08Z,1001.25,9.99,7.07,43.92
9,2026-07-10T18:45:09Z,1001.23,9.99,7.27,45.34
10,2026-07-10T18:45:10Z,1001.24,9.99,6.75,49.97
11,2026-07-10T18:45:11Z,1001.22,9.99,6.69,46.34
12,2026-07-10T18:45:12Z,1001.22,9.99,7.04,44.32
13,2026-07-10T18:45:13Z,1001.19,9.99,7.14,52.88
14,2026-07-10T18:45:14Z,1001.21,9.99,7.30,54.93
15,2026-07-10T18:45:15Z,1001.19,9.99,7.00,48.95
16,2026-07-10T18:45:16Z,1001.19,9.99,6.84,47.80
17,2026-07-10T18:45:17Z,1001.19,9.99,7.19,50.20
18,2026-07-10T18:45:18Z,1001.17,9.99,7.23,48.52
19,2026-07-10T18:45:19Z,1001.16,9.99,7.17,48.87
20,2026-07-10T18:45:20Z,1001.18,9.99,7.19,50.32
21,2026-07-10T18:45:21Z,1001.15,9.99,6.99,49.16
22,2026-07-10T18:45:22Z,1001.15,9.99,7.08,44.21
23,2026-07-10T18:45:23Z,1001.15,9.99,6.75,43.31
24,2026-07-10T18:45:24Z,1001.13,9.99,7.39,47.02
25,2026-07-10T18:45:25Z,1001.14,9.99,6.84,48.85
26,2026-07-10T18:45:26Z,1001.11,9.99,6.95,51.01
27,2026-07-10T18:45:27Z,1001.12,9.99,7.11,49.90
28,2026-07-10T18:45:28Z,1001.11,9.99,7.04,53.67
29,2026-07-10T18:45:29Z,1001.09,9.99,7.42,58.06
30,2026-07-10T18:45:30Z,1001.09,9.99,6.97,58.36
31,2026-07-10T18:45:31Z,1001.09,9.99,6.71,59.77
32,2026-07-10T18:45:32Z,1001.09,9.99,6.73,54.89
33,2026-07-10T18:45:33Z,1001.07,9.99,6.95,52.10
34,2026-07-10T18:45:34Z,1001.09,9.99,6.74,52.28
35,2026-07-10T18:45:35Z,1001.06,9.99,6.89,52.34
36,2026-07-10T18:45:36Z,1001.05,9.99,6.30,49.10
37,2026-07-10T18:45:37Z,1001.04,9.99,6.60,49.79
38,2026-07-10T18:45:38Z,1001.03,9.99,7.07,48.78
39,2026-07-10T18:45:39Z,1001.03,9.99,6.48,45.94
40,2026-07-10T18:45:40Z,1001.02,9.99,6.93,51.83
41,2026-07-10T18:45:41Z,1001.02,9.99,6.56,51.54
42,2026-07-10T18:45:42Z,1001.01,9.99,6.69,55.57
43,2026-07-10T18:45:43Z,1001.00,9.99,6.65,48.99
44,2026-07-10T18:45:44Z,1001.00,9.99,6.42,45.46
45,2026-07-10T18:45:45Z,1000.98,9.99,6.41,48.45
46,2026-07-10T18:45:46Z,1000.98,9.99,6.55,560.60
47,2026-07-10T18:45:47Z,1000.96,9.99,6.15,359.18
48,2026-07-10T18:45:48Z,1000.96,9.99,6.27,208.02
49,2026-07-10T18:45:49Z,1000.95,9.99,6.47,125.10
