elapsed_s,timestamp,pressure_hpa,gps_accuracy_m,gps_speed_mps,mag_ut
1,2026-07-09T15:56:03Z,1006.28,14.25,1.26,42.87
2,2026-07-09T15:56:04Z,1006.28,14.25,1.42,42.72
3,2026-07-09T15:56:05Z,1006.28,14.25,1.46,42.56
4,2026-07-09T15:56:06Z,1006.30,14.25,1.22,42.81
5,2026-07-09T15:56:07Z,1006.30,14.25,1.12,42.37
6,2026-07-09T15:56:08Z,1006.32,14.25,1.10,43.06
7,2026-07-09T15:56:09Z,1006.33,14.25,1.24,46.00
8,2026-07-09T15:56:10Z,1006.34,14.25,1.47,47.88
9,2026-07-09T15:56:11Z,1006.34,14.25,1.39,49.50
10,2026-07-09T15:56:12Z,1006.35,14.25,0.95,51.01
11,2026-07-09T15:56:13Z,1006.35,14.25,0.61,50.49
12,2026-07-09T15:56:14Z,1006.36,14.25,1.47,46.55
13,2026-07-09T15:56:15Z,1006.37,14.25,2.26,35.07
14,2026-07-09T15:56:16Z,1006.39,14.25,1.35,38.72
15,2026-07-09T15:56:17Z,1006.39,14.25,1.19,43.29
16,2026-07-09T15:56:18Z,1006.39,14.25,1.49,46.47
17,2026-07-09T15:56:19Z,1006.38,14.25,1.48,49.35
18,2026-07-09T15:56:20Z,1006.37,14.25,1.49,50.43
19,2026-07-09T15:56:21Z,1006.35,14.25,1.28,48.65
20,2026-07-09T15:56:22Z,1006.33,14.25,1.46,46.02
21,2026-07-09T15:56:23Z,1006.32,14.25,1.54,43.88
22,2026-07-09T15:56:24Z,1006.31,14.25,1.44,41.17
23,2026-07-09T15:56:25Z,1006.29,14.25,1.82,39.98
24,2026-07-09T15:56:26Z,1006.28,14.25,1.76,39.68
25,2026-07-09T15:56:27Z,1006.28,14.25,1.48,41.70
26,2026-07-09T15:56:28Z,1006.26,14.25,1.27,36.19
27,2026-07-09T15:56:29Z,1006.24,14.25,0.86,35.63
28,2026-07-09T15:56:30Z,1006.22,14.25,1.08,40.09
29,2026-07-09T15:56:31Z,1006.19,14.25,1.55,39.91
30,2026-07-09T15:56:32Z,1006.17,14.25,1.55,40.69
31,2026-07-09T15:56:33Z,1006.15,14.25,1.69,40.19
32,2026-07-09T15:56:34Z,1006.13,14.25,1.52,39.41
33,2026-07-09T15:56:35Z,1006.12,14.25,1.41,39.50
34,2026-07-09T15:56:36Z,1006.11,14.25,1.37,40.32
35,2026-07-09T15:56:37Z,1006.10,14.25,1.28,41.16
36,2026-07-09T15:56:38Z,1006.08,14.25,1.19,41.83
37,2026-07-09T15:56:39Z,1006.06,14.25,1.87,42.57
38,2026-07-09T15:56:40Z,1006.03,14.25,1.46,41.59
39,2026-07-09T15:56:41Z,1006.01,14.25,1.33,39.37
40,2026-07-09T15:56:42Z,1006.01,14.25,1.10,39.31
41,2026-07-09T15:56:43Z,1005.99,14.25,1.04,41.55
42,2026-07-09T15:56:44Z,1005.97,14.25,1.13,43.32
43,2026-07-09T15:56:45Z,1005.95,14.25,1.16,42.75
44,2026-07-09T15:56:46Z,1005.94,14.25,1.00,43.12
45,2026-07-09T15:56:47Z,1005.92,14.25,1.26,43.54
46,2026-07-09T15:56:48Z,1005.90,14.25,1.07,44.09
47,2026-07-09T15:56:49Z,1005.88,14.25,1.08,41.65
48,2026-07-09T15:56:50Z,1005.86,14.25,1.14,39.68
49,2026-07-09T15:56:51Z,1005.84,14.25,0.93,39.81
50,2026-07-09T15:56:52Z,1005.82,14.25,1.36,38.57
51,2026-07-09T15:56:53Z,1005.81,14.25,1.43,32.35
52,2026-07-09T15:56:54Z,1005.81,14.25,1.34,30.06
53,2026-07-09T15:56:55Z,1005.80,14.25,1.26,40.18
54,2026-07-09T15:56:56Z,1005.79,14.25,1.25,38.66
55,2026-07-09T15:56:57Z,1005.78,14.25,1.35,39.61
56,2026-07-09T15:56:58Z,1005.78,14.25,1.28,40.55
57,2026-07-09T15:56:59Z,1005.77,14.25,1.51,40.34
58,2026-07-09T15:57:00Z,1005.76,14.25,1.28,41.50
59,2026-07-09T15:57:01Z,1005.75,14.25,1.16,42.80
60,2026-07-09T15:57:02Z,1005.75,14.25,0.99,44.57
61,2026-07-09T15:57:03Z,1005.74,14.25,0.83,42.89
62,2026-07-09T15:57:04Z,1005.73,14.25,1.03,42.04
63,2026-07-09T15:57:05Z,1005.72,14.25,0.84,42.05
64,2026-07-09T15:57:06Z,1005.71,14.25,0.83,42.05
65,2026-07-09T15:57:07Z,1005.70,14.25,0.80,41.64
66,2026-07-09T15:57:08Z,1005.68,14.25,0.91,41.45
67,2026-07-09T15:57:09Z,1005.67,14.25,1.11,40.07
68,2026-07-09T15:57:10Z,1005.65,14.25,1.51,39.20
69,2026-07-09T15:57:11Z,1005.63,14.25,1.50,40.05
70,2026-07-09T15:57:12Z,1005.62,14.25,1.75,40.96
71,2026-07-09T15:57:13Z,1005.62,14.25,1.83,41.17
72,2026-07-09T15:57:14Z,1005.60,14.25,1.47,41.49
73,2026-07-09T15:57:15Z,1005.59,14.25,1.38,41.82
74,2026-07-09T15:57:16Z,1005.58,14.25,1.27,41.76
75,2026-07-09T15:57:17Z,1005.56,14.25,1.26,42.49
76,2026-07-09T15:57:18Z,1005.54,14.25,1.33,42.49
77,2026-07-09T15:57:19Z,1005.53,14.25,1.23,42.59
78,2026-07-09T15:57:20Z,1005.51,14.25,1.15,41.95
79,2026-07-09T15:57:21Z,1005.49,14.25,1.03,41.92
80,2026-07-09T15:57:22Z,1005.48,14.25,1.48,42.03
81,2026-07-09T15:57:23Z,1005.46,14.25,1.56,43.17
82,2026-07-09T15:57:24Z,1005.45,14.25,1.47,44.26
83,2026-07-09T15:57:25Z,1005.44,14.25,1.42,43.31
84,2026-07-09T15:57:26Z,1005.43,14.25,1.22,42.38
85,2026-07-09T15:57:27Z,1005.41,14.25,1.27,42.86
86,2026-07-09T15:57:28Z,1005.41,14.25,1.32,43.22
87,2026-07-09T15:57:29Z,1005.40,14.25,1.24,42.73
88,2026-07-09T15:57:30Z,1005.39,14.25,1.20,42.53
89,2026-07-09T15:57:31Z,1005.38,14.25,1.14,42.62
90,2026-07-09T15:57:32Z,1005.36,14.25,1.35,42.35
91,2026-07-09T15:57:33Z,1005.35,14.25,1.33,41.91
92,2026-07-09T15:57:34Z,1005.34,14.25,1.31,41.70
93,2026-07-09T15:57:35Z,1005.32,14.25,1.19,41.27
94,2026-07-09T15:57:36Z,1005.30,14.25,1.19,38.02
95,2026-07-09T15:57:37Z,1005.28,14.25,1.23,40.45
96,2026-07-09T15:57:38Z,1005.26,14.25,1.32,39.89
97,2026-07-09T15:57:39Z,1005.24,14.25,0.78,37.54
98,2026-07-09T15:57:40Z,1005.22,14.25,0.90,39.50
99,2026-07-09T15:57:41Z,1005.20,14.25,0.92,41.03
100,2026-07-09T15:57:42Z,1005.19,14.25,1.14,42.16
101,2026-07-09T15:57:43Z,1005.18,14.25,1.21,43.19
102,2026-07-09T15:57:44Z,1005.18,14.25,1.17,41.53
103,2026-07-09T15:57:45Z,1005.17,14.25,0.88,41.43
104,2026-07-09T15:57:46Z,1005.16,14.25,0.49,40.45
105,2026-07-09T15:57:47Z,1005.15,14.25,0.90,42.18
106,2026-07-09T15:57:48Z,1005.14,14.25,1.33,42.66
107,2026-07-09T15:57:49Z,1005.13,14.25,1.41,42.12
108,2026-07-09T15:57:50Z,1005.12,14.25,1.97,42.61
109,2026-07-09T15:57:51Z,1005.11,14.25,1.49,43.91
110,2026-07-09T15:57:52Z,1005.09,14.25,1.08,41.30
111,2026-07-09T15:57:53Z,1005.08,14.25,1.08,37.13
112,2026-07-09T15:57:54Z,1005.07,14.25,0.87,36.06
113,2026-07-09T15:57:55Z,1005.06,14.25,0.95,36.38
114,2026-07-09T15:57:56Z,1005.05,14.25,1.17,34.77
115,2026-07-09T15:57:57Z,1005.03,14.25,1.35,36.40
116,2026-07-09T15:57:58Z,1005.02,14.25,1.43,39.73
117,2026-07-09T15:57:59Z,1005.02,14.25,0.82,39.55
118,2026-07-09T15:58:00Z,1005.01,14.25,0.99,37.52
119,2026-07-09T15:58:01Z,1005.00,14.25,0.95,37.19
120,2026-07-09T15:58:02Z,1004.98,14.25,0.80,36.99
121,2026-07-09T15:58:03Z,1004.97,14.25,0.28,35.28
122,2026-07-09T15:58:04Z,1004.95,14.25,0.12,34.68


EXPECTED 116
