elapsed_s,timestamp,pressure_hpa,gps_accuracy_m,gps_speed_mps,mag_ut
1,2026-07-10T16:09:29Z,1000.15,4.75,6.64,54.49
2,2026-07-10T16:09:30Z,1000.18,21.77,6.64,727.24
3,2026-07-10T16:09:31Z,1000.18,21.77,6.64,108.52
4,2026-07-10T16:09:32Z,1000.18,21.77,6.00,215.41
5,2026-07-10T16:09:33Z,1000.18,21.77,6.34,155.88
6,2026-07-10T16:09:34Z,1000.18,21.77,6.34,166.73
7,2026-07-10T16:09:35Z,1000.17,21.77,8.08,115.53
8,2026-07-10T16:09:36Z,1000.14,21.77,9.77,579.59
9,2026-07-10T16:09:37Z,1000.09,21.77,10.40,181.66
10,2026-07-10T16:09:38Z,1000.01,21.77,10.40,150.52
11,2026-07-10T16:09:39Z,999.94,8.00,7.75,27.19
12,2026-07-10T16:09:40Z,999.86,8.00,7.15,37.69
13,2026-07-10T16:09:41Z,999.80,8.00,4.61,77.35
14,2026-07-10T16:09:42Z,999.75,8.00,4.38,93.89
15,2026-07-10T16:09:43Z,999.71,8.00,4.15,181.07
16,2026-07-10T16:09:44Z,999.69,9.06,2.46,151.17
17,2026-07-10T16:09:45Z,999.69,9.05,0.52,130.56
18,2026-07-10T16:09:46Z,999.69,9.61,0.32,128.18
19,2026-07-10T16:09:47Z,999.70,9.99,0.00,119.70
20,2026-07-10T16:09:48Z,999.73,9.77,0.00,116.77
21,2026-07-10T16:09:49Z,999.75,9.59,0.00,116.82
22,2026-07-10T16:09:50Z,999.75,10.66,0.00,117.41
23,2026-07-10T16:09:51Z,999.75,10.44,0.03,112.69
24,2026-07-10T16:09:52Z,999.76,10.25,0.08,110.30
25,2026-07-10T16:09:53Z,999.76,10.43,0.00,109.49
26,2026-07-10T16:09:54Z,999.76,10.27,0.00,107.53
27,2026-07-10T16:09:55Z,999.76,10.13,0.00,107.14
28,2026-07-10T16:09:56Z,999.76,10.00,0.00,107.21
29,2026-07-10T16:09:57Z,999.76,9.89,0.00,107.22
30,2026-07-10T16:09:58Z,999.77,9.79,0.00,107.10
31,2026-07-10T16:09:59Z,999.77,9.79,0.00,107.15
