elapsed_s,timestamp,pressure_hpa,gps_accuracy_m,gps_speed_mps,mag_ut
1,2026-07-09T15:51:16Z,1005.11,21.77,1.12,40.41
2,2026-07-09T15:51:17Z,1005.11,21.77,0.98,41.25
3,2026-07-09T15:51:18Z,1005.12,21.77,0.98,41.98
4,2026-07-09T15:51:19Z,1005.12,21.77,1.04,41.17
5,2026-07-09T15:51:20Z,1005.12,21.77,1.04,40.21
5,2026-07-09T15:51:21Z,1005.13,21.77,1.25,39.39
7,2026-07-09T15:51:22Z,1005.14,21.77,1.36,39.68
8,2026-07-09T15:51:23Z,1005.15,21.77,1.31,40.52
9,2026-07-09T15:51:24Z,1005.16,21.77,1.32,41.23
10,2026-07-09T15:51:25Z,1005.18,21.77,1.32,42.12
11,2026-07-09T15:51:26Z,1005.19,21.77,1.10,42.29
12,2026-07-09T15:51:27Z,1005.21,21.77,1.17,43.38
13,2026-07-09T15:51:28Z,1005.22,21.77,1.17,43.52
14,2026-07-09T15:51:29Z,1005.23,21.77,1.17,42.90
15,2026-07-09T15:51:30Z,1005.24,21.77,1.13,42.55
16,2026-07-09T15:51:31Z,1005.25,22.08,1.22,42.33
17,2026-07-09T15:51:32Z,1005.27,22.21,1.22,43.64
18,2026-07-09T15:51:33Z,1005.29,22.13,1.22,44.24
19,2026-07-09T15:51:34Z,1005.29,22.00,1.13,42.47
19,2026-07-09T15:51:35Z,1005.30,22.02,1.25,41.50
20,2026-07-09T15:51:36Z,1005.32,22.43,1.34,48.06
21,2026-07-09T15:51:37Z,1005.33,22.92,1.34,44.64
22,2026-07-09T15:51:38Z,1005.34,14.25,1.12,39.75
23,2026-07-09T15:51:39Z,1005.36,14.25,1.21,40.61
24,2026-07-09T15:51:40Z,1005.37,14.25,1.13,40.60
25,2026-07-09T15:51:41Z,1005.38,14.25,1.34,42.29
26,2026-07-09T15:51:42Z,1005.40,14.25,1.77,40.69
27,2026-07-09T15:51:43Z,1005.41,14.25,1.42,45.08
28,2026-07-09T15:51:44Z,1005.43,14.25,1.34,39.34
29,2026-07-09T15:51:45Z,1005.44,14.25,1.46,38.90
30,2026-07-09T15:51:46Z,1005.46,14.25,1.43,40.85
31,2026-07-09T15:51:47Z,1005.47,14.25,1.19,41.35
32,2026-07-09T15:51:48Z,1005.49,14.25,1.43,42.65
33,2026-07-09T15:51:49Z,1005.51,14.25,1.66,44.79
34,2026-07-09T15:51:50Z,1005.51,14.25,1.55,41.94
35,2026-07-09T15:51:51Z,1005.52,14.25,1.38,40.18
36,2026-07-09T15:51:52Z,1005.54,14.25,0.95,39.67
37,2026-07-09T15:51:53Z,1005.55,14.25,0.65,40.77
38,2026-07-09T15:51:54Z,1005.56,14.25,1.27,41.47
39,2026-07-09T15:51:55Z,1005.58,14.25,1.80,42.14
40,2026-07-09T15:51:56Z,1005.60,14.25,1.90,41.34
41,2026-07-09T15:51:57Z,1005.61,14.25,2.01,41.10
42,2026-07-09T15:51:58Z,1005.63,14.25,1.94,43.80
43,2026-07-09T15:51:59Z,1005.65,14.25,2.71,44.12
44,2026-07-09T15:52:00Z,1005.66,14.25,1.47,42.05
45,2026-07-09T15:52:01Z,1005.67,14.25,1.88,41.34
46,2026-07-09T15:52:02Z,1005.69,14.25,1.79,40.83
47,2026-07-09T15:52:03Z,1005.71,14.25,1.84,40.87
48,2026-07-09T15:52:04Z,1005.73,14.25,1.72,40.75
49,2026-07-09T15:52:05Z,1005.73,14.25,2.70,40.76
50,2026-07-09T15:52:06Z,1005.75,14.25,1.61,29.30
51,2026-07-09T15:52:07Z,1005.76,14.25,1.57,36.84
52,2026-07-09T15:52:08Z,1005.77,14.25,1.07,38.43
53,2026-07-09T15:52:09Z,1005.78,14.25,1.21,37.50
54,2026-07-09T15:52:10Z,1005.79,14.25,1.40,36.85
55,2026-07-09T15:52:11Z,1005.80,14.25,1.51,38.21
56,2026-07-09T15:52:12Z,1005.81,14.25,1.50,32.74
57,2026-07-09T15:52:13Z,1005.81,14.25,1.22,39.87
58,2026-07-09T15:52:14Z,1005.82,14.25,0.93,55.01
59,2026-07-09T15:52:15Z,1005.83,14.25,0.72,44.81
60,2026-07-09T15:52:16Z,1005.83,14.25,0.87,61.02
61,2026-07-09T15:52:17Z,1005.84,14.25,0.84,64.11
62,2026-07-09T15:52:18Z,1005.86,14.25,1.37,42.10
63,2026-07-09T15:52:19Z,1005.88,14.25,1.71,50.50
64,2026-07-09T15:52:20Z,1005.88,14.25,1.11,42.86
65,2026-07-09T15:52:21Z,1005.90,14.25,0.92,42.78
66,2026-07-09T15:52:22Z,1005.91,14.25,0.91,48.96
67,2026-07-09T15:52:23Z,1005.93,14.25,1.11,45.94
68,2026-07-09T15:52:24Z,1005.94,14.25,1.14,42.83
69,2026-07-09T15:52:25Z,1005.95,14.25,1.85,42.27
70,2026-07-09T15:52:26Z,1005.96,14.25,2.15,43.06
71,2026-07-09T15:52:27Z,1005.98,14.25,2.36,43.21
72,2026-07-09T15:52:28Z,1005.99,14.25,1.95,42.54
73,2026-07-09T15:52:29Z,1006.01,14.25,1.74,40.68
74,2026-07-09T15:52:30Z,1006.03,14.25,1.31,38.52
75,2026-07-09T15:52:31Z,1006.04,14.25,1.43,39.28
76,2026-07-09T15:52:32Z,1006.06,14.25,1.77,39.71
77,2026-07-09T15:52:33Z,1006.08,14.25,1.76,39.44
78,2026-07-09T15:52:34Z,1006.10,14.25,1.35,40.75
79,2026-07-09T15:52:35Z,1006.12,14.25,1.17,39.05
80,2026-07-09T15:52:36Z,1006.12,14.25,1.09,40.63
81,2026-07-09T15:52:37Z,1006.13,14.25,0.90,37.58
82,2026-07-09T15:52:38Z,1006.15,14.25,0.76,35.66
83,2026-07-09T15:52:39Z,1006.16,14.25,1.73,38.05
84,2026-07-09T15:52:40Z,1006.17,14.25,1.47,42.11
85,2026-07-09T15:52:41Z,1006.17,14.25,1.47,45.91
86,2026-07-09T15:52:42Z,1006.18,14.25,1.47,49.57
87,2026-07-09T15:52:43Z,1006.18,14.25,1.47,52.41
88,2026-07-09T15:52:44Z,1006.18,14.25,1.47,52.27
89,2026-07-09T15:52:45Z,1006.20,14.25,1.31,48.17
90,2026-07-09T15:52:46Z,1006.22,14.25,1.46,44.89
91,2026-07-09T15:52:47Z,1006.23,14.25,1.69,41.70
92,2026-07-09T15:52:48Z,1006.25,14.25,1.72,33.98
93,2026-07-09T15:52:49Z,1006.27,14.25,1.61,40.88
94,2026-07-09T15:52:50Z,1006.29,14.25,1.65,47.93
95,2026-07-09T15:52:51Z,1006.29,14.25,1.66,50.98
97,2026-07-09T15:52:52Z,1006.30,14.25,1.45,50.26
97,2026-07-09T15:52:53Z,1006.31,14.25,1.15,48.50
98,2026-07-09T15:52:54Z,1006.32,14.25,1.24,46.95
99,2026-07-09T15:52:55Z,1006.31,14.25,0.90,45.36
100,2026-07-09T15:52:56Z,1006.31,14.25,0.22,44.52
101,2026-07-09T15:52:57Z,1006.31,14.25,0.00,43.62
102,2026-07-09T15:52:58Z,1006.30,14.25,0.00,43.61
103,2026-07-09T15:52:59Z,1006.30,14.25,0.00,43.21
104,2026-07-09T15:53:00Z,1006.30,14.25,0.00,44.09
105,2026-07-09T15:53:01Z,1006.30,14.25,0.00,44.41
106,2026-07-09T15:53:02Z,1006.30,14.25,0.20,44.11
107,2026-07-09T15:53:03Z,1006.30,14.25,0.77,39.92
108,2026-07-09T15:53:04Z,1006.31,14.25,1.08,37.70
109,2026-07-09T15:53:05Z,1006.31,14.25,2.06,41.69
110,2026-07-09T15:53:06Z,1006.31,14.25,2.57,42.49
111,2026-07-09T15:53:07Z,1006.31,14.25,1.59,41.20
112,2026-07-09T15:53:08Z,1006.31,14.25,1.04,41.59
113,2026-07-09T15:53:09Z,1006.31,14.25,0.83,41.97
114,2026-07-09T15:53:10Z,1006.30,14.25,0.84,40.82
115,2026-07-09T15:53:11Z,1006.29,14.25,0.92,41.13
116,2026-07-09T15:53:12Z,1006.28,14.25,1.45,41.44
117,2026-07-09T15:53:13Z,1006.27,14.25,1.56,40.50
118,2026-07-09T15:53:14Z,1006.26,14.25,1.85,41.21
119,2026-07-09T15:53:15Z,1006.24,14.25,1.65,40.71
120,2026-07-09T15:53:16Z,1006.23,14.25,1.30,40.09
121,2026-07-09T15:53:17Z,1006.22,14.25,0.33,41.78
122,2026-07-09T15:53:18Z,1006.21,14.25,0.19,40.65
123,2026-07-09T15:53:19Z,1006.20,14.25,0.83,38.02
124,2026-07-09T15:53:20Z,1006.19,14.25,1.17,38.47
125,2026-07-09T15:53:21Z,1006.18,14.25,0.57,40.39
126,2026-07-09T15:53:22Z,1006.18,14.25,0.78,40.20
127,2026-07-09T15:53:23Z,1006.17,14.25,0.88,40.10
128,2026-07-09T15:53:24Z,1006.16,14.25,0.79,40.07
129,2026-07-09T15:53:25Z,1006.16,14.25,0.91,40.04
130,2026-07-09T15:53:26Z,1006.15,14.25,1.33,40.47
131,2026-07-09T15:53:27Z,1006.15,14.25,1.43,39.91
132,2026-07-09T15:53:28Z,1006.14,14.25,1.11,39.05
133,2026-07-09T15:53:29Z,1006.14,14.25,1.36,40.87
134,2026-07-09T15:53:30Z,1006.13,14.25,1.31,42.75
135,2026-07-09T15:53:31Z,1006.12,14.25,1.16,41.51
136,2026-07-09T15:53:32Z,1006.12,14.25,1.28,39.52
137,2026-07-09T15:53:33Z,1006.11,14.25,1.06,32.05
138,2026-07-09T15:53:34Z,1006.10,14.25,1.36,33.87
139,2026-07-09T15:53:35Z,1006.09,14.25,1.03,42.24
140,2026-07-09T15:53:36Z,1006.09,14.25,1.22,53.58
141,2026-07-09T15:53:37Z,1006.09,14.25,0.86,65.55
142,2026-07-09T15:53:38Z,1006.09,14.25,0.55,69.52
143,2026-07-09T15:53:39Z,1006.10,14.25,0.22,70.69
144,2026-07-09T15:53:40Z,1006.13,14.25,0.29,76.64
145,2026-07-09T15:53:41Z,1006.16,14.25,0.58,76.64
146,2026-07-09T15:53:42Z,1006.22,14.25,0.14,81.01
147,2026-07-09T15:53:43Z,1006.28,14.25,0.33,66.74
148,2026-07-09T15:53:44Z,1006.33,14.25,0.90,49.54
149,2026-07-09T15:53:45Z,1006.38,14.25,1.10,42.73
150,2026-07-09T15:53:46Z,1006.42,14.25,1.18,29.74
151,2026-07-09T15:53:47Z,1006.46,14.25,1.25,31.49
