elapsed_s,timestamp,pressure_hpa,gps_accuracy_m,gps_speed_mps,mag_ut
1,2026-07-14T10:30:01Z,1006.56,7.72,19.71,27.36
2,2026-07-14T10:30:02Z,1006.56,8.52,20.08,28.97
3,2026-07-14T10:30:03Z,1006.56,8.97,20.17,30.74
4,2026-07-14T10:30:04Z,1006.55,8.89,20.10,34.22
5,2026-07-14T10:30:05Z,1006.53,7.22,20.04,33.92
6,2026-07-14T10:30:06Z,1006.50,7.30,19.65,32.30
7,2026-07-14T10:30:07Z,1006.49,7.71,20.34,40.61
8,2026-07-14T10:30:08Z,1006.47,7.03,19.90,33.58
9,2026-07-14T10:30:09Z,1006.45,7.13,20.12,36.41
10,2026-07-14T10:30:10Z,1006.43,8.98,19.84,35.49
11,2026-07-14T10:30:11Z,1006.41,8.29,20.04,32.38
12,2026-07-14T10:30:12Z,1006.39,7.76,19.83,31.42
13,2026-07-14T10:30:13Z,1006.37,7.26,20.22,27.24
14,2026-07-14T10:30:14Z,1006.35,7.09,20.27,35.97
15,2026-07-14T10:30:15Z,1006.33,9.50,19.82,31.92
16,2026-07-14T10:30:16Z,1006.30,9.82,20.27,31.59
17,2026-07-14T10:30:17Z,1006.27,8.57,20.15,33.84
18,2026-07-14T10:30:18Z,1006.23,9.39,19.96,38.06
19,2026-07-14T10:30:19Z,1006.21,8.53,19.98,29.52
20,2026-07-14T10:30:20Z,1006.22,9.78,19.80,26.72
21,2026-07-14T10:30:21Z,1006.20,8.61,17.39,27.81
22,2026-07-14T10:30:22Z,1006.18,8.51,14.32,26.99
23,2026-07-14T10:30:23Z,1006.16,10.36,11.67,27.65
24,2026-07-14T10:30:24Z,1006.14,11.07,8.73,25.49
25,2026-07-14T10:30:25Z,1006.12,9.94,5.68,32.39
26,2026-07-14T10:30:26Z,1006.10,11.27,6.28,28.47
27,2026-07-14T10:30:27Z,1006.07,9.04,6.61,29.02
28,2026-07-14T10:30:28Z,1006.05,9.10,6.39,29.78
29,2026-07-14T10:30:29Z,1006.02,10.71,6.41,32.34
30,2026-07-14T10:30:30Z,1005.99,9.63,7.11,28.44
31,2026-07-14T10:30:31Z,1005.99,10.95,6.79,34.84
32,2026-07-14T10:30:32Z,1005.97,10.15,7.87,35.11
33,2026-07-14T10:30:33Z,1005.96,11.27,8.55,31.25
34,2026-07-14T10:30:34Z,1005.93,10.45,9.49,29.61
35,2026-07-14T10:30:35Z,1005.93,11.83,10.60,28.44
36,2026-07-14T10:30:36Z,1005.94,12.14,11.43,27.64
37,2026-07-14T10:30:37Z,1005.92,10.00,11.86,29.46
38,2026-07-14T10:30:38Z,1005.92,10.39,12.49,30.10
39,2026-07-14T10:30:39Z,1005.91,9.93,13.39,27.58
40,2026-07-14T10:30:40Z,1005.91,11.39,14.69,27.42
41,2026-07-14T10:30:41Z,1005.90,11.02,15.53,28.63
42,2026-07-14T10:30:42Z,1005.89,11.05,16.20,22.84
43,2026-07-14T10:30:43Z,1005.89,10.22,17.06,27.33
44,2026-07-14T10:30:44Z,1005.87,10.11,17.61,30.21
45,2026-07-14T10:30:45Z,1005.87,6.15,18.73,27.29
46,2026-07-14T10:30:46Z,1005.87,5.78,19.36,31.03
47,2026-07-14T10:30:47Z,1005.87,4.87,20.42,27.25
48,2026-07-14T10:30:48Z,1005.86,4.46,20.92,27.80
49,2026-07-14T10:30:49Z,1005.86,8.13,22.23,25.99
50,2026-07-14T10:30:50Z,1005.86,7.82,21.89,29.28
