elapsed_s,timestamp,pressure_hpa,gps_accuracy_m,gps_speed_mps,mag_ut
1,2026-07-14T10:00:01Z,1002.53,14.25,11.98,28.94
2,2026-07-14T10:00:02Z,1002.52,14.25,11.79,31.38
3,2026-07-14T10:00:03Z,1002.52,14.25,11.99,32.21
4,2026-07-14T10:00:04Z,1002.52,14.25,12.23,29.57
5,2026-07-14T10:00:05Z,1002.53,14.25,12.14,34.72
6,2026-07-14T10:00:06Z,1002.56,14.25,12.25,31.87
7,2026-07-14T10:00:07Z,1002.56,21.77,11.87,30.65
8,2026-07-14T10:00:08Z,1002.56,21.77,11.97,68.41
9,2026-07-14T10:00:09Z,1002.57,21.77,11.81,64.45
10,2026-07-14T10:00:10Z,1002.57,21.77,11.75,61.20
11,2026-07-14T10:00:11Z,1002.57,21.77,12.14,33.97
12,2026-07-14T10:00:12Z,1002.59,21.77,11.81,38.92
13,2026-07-14T10:00:13Z,1002.61,21.77,11.65,35.12
14,2026-07-14T10:00:14Z,1002.63,21.77,11.91,38.57
15,2026-07-14T10:00:15Z,1002.66,21.77,11.79,33.67
16,2026-07-14T10:00:16Z,1002.67,21.77,12.34,33.75
17,2026-07-14T10:00:17Z,1002.69,12.00,10.17,34.70
18,2026-07-14T10:00:18Z,1002.71,12.00,7.66,28.59
19,2026-07-14T10:00:19Z,1002.73,12.00,5.81,30.26
20,2026-07-14T10:00:20Z,1002.72,12.00,4.11,30.25
21,2026-07-14T10:00:21Z,1002.74,12.00,2.30,28.42
22,2026-07-14T10:00:22Z,1002.75,12.00,0.00,27.46
23,2026-07-14T10:00:23Z,1002.76,12.00,0.00,34.68
24,2026-07-14T10:00:24Z,1002.75,12.00,0.00,28.43
25,2026-07-14T10:00:25Z,1002.74,12.00,0.00,25.51
26,2026-07-14T10:00:26Z,1002.72,12.00,0.00,29.97
27,2026-07-14T10:00:27Z,1002.73,19.73,0.00,30.96
28,2026-07-14T10:00:28Z,1002.74,19.73,0.00,26.57
29,2026-07-14T10:00:29Z,1002.73,19.73,0.00,28.00
30,2026-07-14T10:00:30Z,1002.70,19.73,0.00,27.49
31,2026-07-14T10:00:31Z,1002.69,19.73,0.00,29.37
32,2026-07-14T10:00:32Z,1002.65,19.73,0.00,25.55
33,2026-07-14T10:00:33Z,1002.65,19.73,2.40,34.36
34,2026-07-14T10:00:34Z,1002.65,19.73,4.13,28.74
35,2026-07-14T10:00:35Z,1002.64,19.73,6.67,31.33
36,2026-07-14T10:00:36Z,1002.60,19.73,8.84,29.99
37,2026-07-14T10:00:37Z,1002.61,19.73,11.02,39.54
38,2026-07-14T10:00:38Z,1002.62,19.73,13.33,32.31
39,2026-07-14T10:00:39Z,1002.61,19.73,11.36,30.42
40,2026-07-14T10:00:40Z,1002.60,19.73,9.74,34.79
41,2026-07-14T10:00:41Z,1002.58,19.73,8.15,29.47
42,2026-07-14T10:00:42Z,1002.59,19.73,6.69,24.43
43,2026-07-14T10:00:43Z,1002.58,19.73,4.96,26.32
44,2026-07-14T10:00:44Z,1002.59,19.73,5.55,21.45
45,2026-07-14T10:00:45Z,1002.57,19.73,6.43,24.80
46,2026-07-14T10:00:46Z,1002.59,19.73,6.79,23.94
47,2026-07-14T10:00:47Z,1002.58,19.73,7.51,28.33
48,2026-07-14T10:00:48Z,1002.60,16.00,8.10,25.61
49,2026-07-14T10:00:49Z,1002.61,16.00,8.72,21.00
50,2026-07-14T10:00:50Z,1002.64,16.00,9.80,27.10
51,2026-07-14T10:00:51Z,1002.68,16.00,9.94,23.12
52,2026-07-14T10:00:52Z,1002.71,16.00,10.80,22.76
53,2026-07-14T10:00:53Z,1002.74,16.00,11.51,27.64
54,2026-07-14T10:00:54Z,1002.77,16.00,11.91,21.01
55,2026-07-14T10:00:55Z,1002.84,16.00,11.87,23.65
56,2026-07-14T10:00:56Z,1002.87,16.00,12.24,25.95
57,2026-07-14T10:00:57Z,1002.93,16.00,11.89,32.88
58,2026-07-14T10:00:58Z,1003.00,16.00,12.05,26.95
59,2026-07-14T10:00:59Z,1003.04,14.25,11.79,32.01
60,2026-07-14T10:01:00Z,1003.11,14.25,12.19,22.99
61,2026-07-14T10:01:01Z,1003.16,14.25,12.31,25.55
62,2026-07-14T10:01:02Z,1003.23,14.25,12.09,28.38
63,2026-07-14T10:01:03Z,1003.28,21.77,12.00,29.28
64,2026-07-14T10:01:04Z,1003.33,21.77,11.92,31.01
65,2026-07-14T10:01:05Z,1003.38,21.77,11.75,29.58
66,2026-07-14T10:01:06Z,1003.43,21.77,11.69,27.64
67,2026-07-14T10:01:07Z,1003.50,21.77,11.84,36.62
68,2026-07-14T10:01:08Z,1003.57,21.77,11.93,36.31
69,2026-07-14T10:01:09Z,1003.63,21.77,12.12,28.20
70,2026-07-14T10:01:10Z,1003.68,21.77,12.13,33.72
71,2026-07-14T10:01:11Z,1003.74,21.77,9.72,33.46
72,2026-07-14T10:01:12Z,1003.80,21.77,7.90,29.98
73,2026-07-14T10:01:13Z,1003.84,21.77,5.78,35.34
74,2026-07-14T10:01:14Z,1003.89,21.77,3.84,61.87
75,2026-07-14T10:01:15Z,1003.93,21.77,1.68,63.98
76,2026-07-14T10:01:16Z,1003.96,21.77,0.00,57.34
77,2026-07-14T10:01:17Z,1003.99,12.00,0.00,69.18
78,2026-07-14T10:01:18Z,1004.03,12.00,0.00,39.03
79,2026-07-14T10:01:19Z,1004.05,12.00,0.00,37.00
80,2026-07-14T10:01:20Z,1004.08,12.00,0.00,42.94
81,2026-07-14T10:01:21Z,1004.08,12.00,0.00,40.30
82,2026-07-14T10:01:22Z,1004.09,12.00,0.00,38.11
83,2026-07-14T10:01:23Z,1004.10,12.00,0.00,66.23
84,2026-07-14T10:01:24Z,1004.09,12.00,0.00,64.56
85,2026-07-14T10:01:25Z,1004.08,12.00,0.00,72.16
86,2026-07-14T10:01:26Z,1004.09,12.00,0.00,55.24
87,2026-07-14T10:01:27Z,1004.08,12.00,2.15,67.24
88,2026-07-14T10:01:28Z,1004.04,12.00,4.52,57.46
89,2026-07-14T10:01:29Z,1004.03,12.00,6.38,31.67
90,2026-07-14T10:01:30Z,1004.01,12.00,8.79,32.54
91,2026-07-14T10:01:31Z,1003.99,12.00,10.61,24.93
92,2026-07-14T10:01:32Z,1003.95,12.00,12.85,29.26
93,2026-07-14T10:01:33Z,1003.91,12.00,11.14,25.34
94,2026-07-14T10:01:34Z,1003.87,12.00,9.96,28.30
95,2026-07-14T10:01:35Z,1003.83,12.00,8.23,29.05
96,2026-07-14T10:01:36Z,1003.81,12.00,6.94,25.11
97,2026-07-14T10:01:37Z,1003.77,12.00,5.34,28.21
98,2026-07-14T10:01:38Z,1003.72,12.00,5.96,22.97
99,2026-07-14T10:01:39Z,1003.69,12.00,6.10,28.63
100,2026-07-14T10:01:40Z,1003.64,12.00,6.93,23.26
101,2026-07-14T10:01:41Z,1003.61,12.00,7.70,28.14
102,2026-07-14T10:01:42Z,1003.57,12.00,7.84,26.93
103,2026-07-14T10:01:43Z,1003.54,12.00,9.13,27.47
104,2026-07-14T10:01:44Z,1003.51,12.00,9.38,24.71
105,2026-07-14T10:01:45Z,1003.49,12.00,10.44,26.41
106,2026-07-14T10:01:46Z,1003.45,12.00,11.06,22.76
107,2026-07-14T10:01:47Z,1003.40,12.00,11.10,25.88
108,2026-07-14T10:01:48Z,1003.38,12.00,12.01,30.47
109,2026-07-14T10:01:49Z,1003.36,12.00,12.25,31.76
