elapsed_s,timestamp,pressure_hpa,gps_accuracy_m,gps_speed_mps,mag_ut
1,2026-07-14T12:30:01Z,1000.63,25.00,12.05,30.73
2,2026-07-14T12:30:02Z,1000.62,25.00,12.22,29.78
3,2026-07-14T12:30:03Z,1000.62,25.00,11.89,31.63
4,2026-07-14T12:30:04Z,1000.61,25.00,12.26,33.37
5,2026-07-14T12:30:05Z,1000.62,25.00,12.03,22.82
6,2026-07-14T12:30:06Z,1000.60,16.00,12.07,33.44
7,2026-07-14T12:30:07Z,1000.59,16.00,11.91,32.18
8,2026-07-14T12:30:08Z,1000.56,16.00,11.98,152.26
9,2026-07-14T12:30:09Z,1000.54,16.00,11.70,166.83
10,2026-07-14T12:30:10Z,1000.54,16.00,11.86,28.20
11,2026-07-14T12:30:11Z,1000.53,16.00,11.67,27.41
12,2026-07-14T12:30:12Z,1000.53,16.00,12.26,21.16
13,2026-07-14T12:30:13Z,1000.52,16.00,12.09,24.15
14,2026-07-14T12:30:14Z,1000.51,16.00,11.73,32.51
15,2026-07-14T12:30:15Z,1000.51,16.00,12.07,25.78
16,2026-07-14T12:30:16Z,1000.51,16.00,11.95,27.91
17,2026-07-14T12:30:17Z,1000.53,16.00,10.22,31.00
18,2026-07-14T12:30:18Z,1000.53,14.25,8.02,28.61
19,2026-07-14T12:30:19Z,1000.54,14.25,5.73,26.07
20,2026-07-14T12:30:20Z,1000.55,14.25,3.83,30.01
21,2026-07-14T12:30:21Z,1000.58,14.25,2.24,200.97
22,2026-07-14T12:30:22Z,1000.62,14.25,0.00,204.37
23,2026-07-14T12:30:23Z,1000.64,21.77,0.00,146.01
24,2026-07-14T12:30:24Z,1000.65,21.77,0.00,189.05
25,2026-07-14T12:30:25Z,1000.68,21.77,0.00,178.69
26,2026-07-14T12:30:26Z,1000.73,21.77,0.00,215.60
27,2026-07-14T12:30:27Z,1000.74,21.77,0.00,28.83
28,2026-07-14T12:30:28Z,1000.79,21.77,0.00,33.04
29,2026-07-14T12:30:29Z,1000.86,21.77,0.00,33.53
30,2026-07-14T12:30:30Z,1000.90,21.77,0.00,28.97
31,2026-07-14T12:30:31Z,1000.94,21.77,0.00,24.99
32,2026-07-14T12:30:32Z,1000.99,21.77,0.00,426.11
33,2026-07-14T12:30:33Z,1001.04,21.77,2.38,407.47
34,2026-07-14T12:30:34Z,1001.09,21.77,4.03,365.12
35,2026-07-14T12:30:35Z,1001.13,21.77,6.50,30.94
36,2026-07-14T12:30:36Z,1001.17,21.77,8.77,29.55
37,2026-07-14T12:30:37Z,1001.20,21.77,11.05,31.60
38,2026-07-14T12:30:38Z,1001.23,21.77,13.34,28.73
39,2026-07-14T12:30:39Z,1001.25,21.77,11.36,33.65
40,2026-07-14T12:30:40Z,1001.28,21.77,9.97,35.24
41,2026-07-14T12:30:41Z,1001.30,21.77,8.30,34.43
42,2026-07-14T12:30:42Z,1001.31,21.77,6.31,34.36
43,2026-07-14T12:30:43Z,1001.33,21.77,5.14,28.14
44,2026-07-14T12:30:44Z,1001.33,21.77,5.52,26.65
45,2026-07-14T12:30:45Z,1001.32,21.77,6.08,33.03
46,2026-07-14T12:30:46Z,1001.31,21.77,7.21,27.81
47,2026-07-14T12:30:47Z,1001.30,21.77,7.33,29.81
48,2026-07-14T12:30:48Z,1001.28,21.77,7.95,33.21
49,2026-07-14T12:30:49Z,1001.24,21.77,9.04,26.25
50,2026-07-14T12:30:50Z,1001.21,14.25,9.39,31.61
51,2026-07-14T12:30:51Z,1001.16,14.25,10.31,32.85
51,2026-07-14T12:30:51Z,1001.16,14.25,10.31,32.85
52,2026-07-14T12:30:52Z,1001.13,14.25,10.79,32.35
53,2026-07-14T12:30:53Z,1001.09,14.25,11.41,30.25
54,2026-07-14T12:30:54Z,1001.03,25.00,11.99,29.21
55,2026-07-14T12:30:55Z,1000.96,25.00,11.79,26.20
56,2026-07-14T12:30:56Z,1000.90,25.00,12.16,27.52
57,2026-07-14T12:30:57Z,1000.84,25.00,12.08,23.93
58,2026-07-14T12:30:58Z,1000.78,19.73,11.93,21.27
59,2026-07-14T12:30:59Z,1000.70,19.73,12.31,31.77
60,2026-07-14T12:31:00Z,1000.61,19.73,12.01,26.17
61,2026-07-14T12:31:01Z,1000.55,21.77,12.19,23.90
62,2026-07-14T12:31:02Z,1000.49,21.77,12.05,22.60
63,2026-07-14T12:31:03Z,1000.42,21.77,11.76,26.74
64,2026-07-14T12:31:04Z,1000.36,21.77,12.22,32.96
65,2026-07-14T12:31:05Z,1000.29,21.77,12.34,21.71
66,2026-07-14T12:31:06Z,1000.24,21.77,11.81,26.52
67,2026-07-14T12:31:07Z,1000.18,21.77,12.13,24.13
68,2026-07-14T12:31:08Z,1000.12,21.77,11.76,28.39
69,2026-07-14T12:31:09Z,1000.09,21.77,12.06,31.02
70,2026-07-14T12:31:10Z,1000.04,21.77,11.88,30.98
71,2026-07-14T12:31:11Z,1000.02,21.77,9.79,28.08
72,2026-07-14T12:31:12Z,999.98,21.77,8.19,29.06
73,2026-07-14T12:31:13Z,999.97,21.77,5.66,22.88
74,2026-07-14T12:31:14Z,999.94,21.77,3.70,31.50
75,2026-07-14T12:31:15Z,999.91,21.77,1.75,27.59
76,2026-07-14T12:31:16Z,999.89,21.77,0.00,26.81
77,2026-07-14T12:31:17Z,999.87,21.77,0.00,29.54
78,2026-07-14T12:31:18Z,999.89,21.77,0.00,26.81
79,2026-07-14T12:31:19Z,999.87,21.77,0.00,24.27
80,2026-07-14T12:31:20Z,999.86,21.77,0.00,29.85
81,2026-07-14T12:31:21Z,999.88,21.77,0.00,34.08
82,2026-07-14T12:31:22Z,999.88,21.77,0.00,36.96
83,2026-07-14T12:31:23Z,999.90,21.77,0.00,29.63
84,2026-07-14T12:31:24Z,999.90,25.00,0.00,28.41
85,2026-07-14T12:31:25Z,999.92,25.00,0.00,38.62
86,2026-07-14T12:31:26Z,999.92,25.00,0.00,32.73
87,2026-07-14T12:31:27Z,999.94,25.00,2.26,33.86
88,2026-07-14T12:31:28Z,999.95,25.00,4.62,27.32
89,2026-07-14T12:31:29Z,999.96,25.00,6.40,24.74
90,2026-07-14T12:31:30Z,999.96,25.00,8.64,28.86
91,2026-07-14T12:31:31Z,999.96,25.00,10.88,426.72
