elapsed_s,timestamp,pressure_hpa,gps_accuracy_m,gps_speed_mps,mag_ut
1,2026-07-14T11:00:01Z,1002.10,25.00,11.99,30.97
2,2026-07-14T11:00:02Z,1002.10,25.00,11.68,35.14
3,2026-07-14T11:00:03Z,1002.07,25.00,12.18,37.16
4,2026-07-14T11:00:04Z,1002.05,25.00,12.31,29.60
5,2026-07-14T11:00:05Z,1002.05,25.00,11.95,36.97
6,2026-07-14T11:00:06Z,1002.06,25.00,12.07,28.91
7,2026-07-14T11:00:07Z,1002.08,25.00,11.68,30.66
8,2026-07-14T11:00:08Z,1002.09,25.00,11.67,34.13
9,2026-07-14T11:00:09Z,1002.10,25.00,11.71,34.05
10,2026-07-14T11:00:10Z,1002.10,14.25,11.93,29.36
11,2026-07-14T11:00:11Z,1002.12,14.25,11.75,27.43
12,2026-07-14T11:00:12Z,1002.13,14.25,11.88,32.27
13,2026-07-14T11:00:13Z,1002.16,14.25,11.71,25.41
14,2026-07-14T11:00:14Z,1002.18,14.25,12.21,31.55
15,2026-07-14T11:00:15Z,1002.21,14.25,12.13,26.21
16,2026-07-14T11:00:16Z,1002.24,14.25,11.81,31.23
17,2026-07-14T11:00:17Z,1002.26,14.25,10.12,28.79
18,2026-07-14T11:00:18Z,1002.30,14.25,7.96,33.67
19,2026-07-14T11:00:19Z,1002.35,21.77,6.02,33.25
20,2026-07-14T11:00:20Z,1002.39,21.77,4.20,30.00
21,2026-07-14T11:00:21Z,1002.42,21.77,2.34,36.38
22,2026-07-14T11:00:22Z,1002.45,21.77,0.00,32.11
23,2026-07-14T11:00:23Z,1002.49,21.77,0.00,36.11
24,2026-07-14T11:00:24Z,1002.52,21.77,0.00,34.96
25,2026-07-14T11:00:25Z,1002.56,21.77,0.00,40.07
26,2026-07-14T11:00:26Z,1002.61,21.77,0.00,38.02
27,2026-07-14T11:00:27Z,1002.62,21.77,0.00,35.76
28,2026-07-14T11:00:28Z,1002.66,21.77,0.00,37.88
29,2026-07-14T11:00:29Z,1002.69,21.77,0.00,37.17
30,2026-07-14T11:00:30Z,1002.73,21.77,0.00,38.32
31,2026-07-14T11:00:31Z,1002.77,21.77,0.00,42.60
32,2026-07-14T11:00:32Z,1002.81,21.77,0.00,43.66
33,2026-07-14T11:00:33Z,1002.85,21.77,2.44,36.99
34,2026-07-14T11:00:34Z,1002.89,14.25,4.17,39.55
35,2026-07-14T11:00:35Z,1002.92,14.25,6.61,41.73
36,2026-07-14T11:00:36Z,1002.94,14.25,8.44,34.91
37,2026-07-14T11:00:37Z,1002.98,14.25,10.52,37.29
38,2026-07-14T11:00:38Z,1003.01,19.73,13.34,30.73
39,2026-07-14T11:00:39Z,1003.04,19.73,11.57,31.23
40,2026-07-14T11:00:40Z,1003.08,19.73,10.04,37.62
41,2026-07-14T11:00:41Z,1003.10,19.73,8.26,34.46
42,2026-07-14T11:00:42Z,1003.13,19.73,6.85,30.82
43,2026-07-14T11:00:43Z,1003.15,19.73,5.10,37.32
44,2026-07-14T11:00:44Z,1003.17,19.73,5.46,39.36
45,2026-07-14T11:00:45Z,1003.18,19.73,6.59,41.54
46,2026-07-14T11:00:46Z,1003.19,19.73,6.69,33.88
47,2026-07-14T11:00:47Z,1003.20,19.73,7.70,38.12
48,2026-07-14T11:00:48Z,1003.21,19.73,8.53,36.28
49,2026-07-14T11:00:49Z,1003.23,19.73,8.72,37.52
50,2026-07-14T11:00:50Z,1003.23,14.25,9.43,37.60
51,2026-07-14T11:00:51Z,1003.24,14.25,10.13,40.43
52,2026-07-14T11:00:52Z,1003.24,14.25,10.75,35.01
52,2026-07-14T11:00:52Z,1003.24,14.25,10.75,35.01
53,2026-07-14T11:00:53Z,1003.24,19.73,11.04,28.88
54,2026-07-14T11:00:54Z,1003.23,19.73,12.27,32.96
55,2026-07-14T11:00:55Z,1003.25,19.73,12.11,30.64
56,2026-07-14T11:00:56Z,1003.25,19.73,11.94,30.24
57,2026-07-14T11:00:57Z,1003.24,19.73,11.68,30.04
58,2026-07-14T11:00:58Z,1003.22,21.77,12.24,26.21
59,2026-07-14T11:00:59Z,1003.23,21.77,11.87,28.88
60,2026-07-14T11:01:00Z,1003.21,21.77,12.35,28.18
61,2026-07-14T11:01:01Z,1003.20,21.77,11.75,27.68
62,2026-07-14T11:01:02Z,1003.20,21.77,11.89,23.22
63,2026-07-14T11:01:03Z,1003.19,21.77,12.22,30.08
64,2026-07-14T11:01:04Z,1003.19,21.77,12.01,23.55
65,2026-07-14T11:01:05Z,1003.18,21.77,11.92,29.62
66,2026-07-14T11:01:06Z,1003.19,21.77,11.75,27.43
67,2026-07-14T11:01:07Z,1003.19,21.77,12.08,30.19
68,2026-07-14T11:01:08Z,1003.19,21.77,11.76,32.43
69,2026-07-14T11:01:09Z,1003.19,21.77,12.08,35.61
70,2026-07-14T11:01:10Z,1003.20,21.77,12.03,31.00
71,2026-07-14T11:01:11Z,1003.21,21.77,9.80,31.60
72,2026-07-14T11:01:12Z,1003.24,21.77,8.26,39.43
73,2026-07-14T11:01:13Z,1003.26,21.77,5.93,28.06
74,2026-07-14T11:01:14Z,1003.29,21.77,4.13,35.72
75,2026-07-14T11:01:15Z,1003.28,21.77,2.35,28.22
76,2026-07-14T11:01:16Z,1003.29,21.77,0.00,26.39
77,2026-07-14T11:01:17Z,1003.31,25.00,0.00,24.96
78,2026-07-14T11:01:18Z,1003.34,25.00,0.00,27.84
79,2026-07-14T11:01:19Z,1003.36,25.00,0.00,33.16
80,2026-07-14T11:01:20Z,1003.35,25.00,0.00,27.20
81,2026-07-14T11:01:21Z,1003.38,25.00,0.00,32.35
82,2026-07-14T11:01:22Z,1003.38,25.00,0.00,31.38
83,2026-07-14T11:01:23Z,1003.40,25.00,0.00,38.91
84,2026-07-14T11:01:24Z,1003.41,25.00,0.00,33.81
85,2026-07-14T11:01:25Z,1003.43,25.00,0.00,33.38
86,2026-07-14T11:01:26Z,1003.46,25.00,0.00,30.16
87,2026-07-14T11:01:27Z,1003.50,25.00,2.32,31.54
88,2026-07-14T11:01:28Z,1003.51,25.00,4.05,31.69
89,2026-07-14T11:01:29Z,1003.54,25.00,6.63,35.33
90,2026-07-14T11:01:30Z,1003.54,25.00,8.79,29.93
91,2026-07-14T11:01:31Z,1003.59,25.00,10.60,30.98
92,2026-07-14T11:01:32Z,1003.59,25.00,13.10,26.16
93,2026-07-14T11:01:33Z,1003.62,25.00,11.15,35.39
94,2026-07-14T11:01:34Z,1003.63,25.00,9.64,33.05
95,2026-07-14T11:01:35Z,1003.65,25.00,7.99,29.51
96,2026-07-14T11:01:36Z,1003.65,25.00,6.66,31.25
97,2026-07-14T11:01:37Z,1003.66,25.00,4.71,31.60
98,2026-07-14T11:01:38Z,1003.67,25.00,5.86,32.77
99,2026-07-14T11:01:39Z,1003.67,25.00,6.49,33.32
100,2026-07-14T11:01:40Z,1003.65,25.00,6.81,33.18
101,2026-07-14T11:01:41Z,1003.66,25.00,7.87,30.10
102,2026-07-14T11:01:42Z,1003.66,25.00,8.47,30.72
103,2026-07-14T11:01:43Z,1003.65,25.00,8.62,31.76
104,2026-07-14T11:01:44Z,1003.67,25.00,9.21,33.69
105,2026-07-14T11:01:45Z,1003.64,25.00,9.96,32.67
106,2026-07-14T11:01:46Z,1003.62,25.00,10.96,31.48
107,2026-07-14T11:01:47Z,1003.62,25.00,11.69,30.86
108,2026-07-14T11:01:48Z,1003.61,25.00,12.13,29.63
109,2026-07-14T11:01:49Z,1003.58,25.00,11.69,35.23
110,2026-07-14T11:01:50Z,1003.55,25.00,11.88,36.23
111,2026-07-14T11:01:51Z,1003.51,25.00,12.21,36.94
112,2026-07-14T11:01:52Z,1003.47,25.00,12.02,36.92
113,2026-07-14T11:01:53Z,1003.45,25.00,12.31,34.27
114,2026-07-14T11:01:54Z,1003.42,25.00,12.20,39.23
115,2026-07-14T11:01:55Z,1003.38,25.00,12.10,33.54
116,2026-07-14T11:01:56Z,1003.35,25.00,12.08,30.49
117,2026-07-14T11:01:57Z,1003.30,25.00,12.15,35.34
118,2026-07-14T11:01:58Z,1003.26,25.00,12.32,35.41
119,2026-07-14T11:01:59Z,1003.20,14.25,11.82,35.83
120,2026-07-14T11:02:00Z,1003.16,14.25,11.81,38.79
121,2026-07-14T11:02:01Z,1003.12,14.25,11.89,41.48
122,2026-07-14T11:02:02Z,1003.05,14.25,12.28,36.58
123,2026-07-14T11:02:03Z,1003.01,14.25,12.22,31.27
124,2026-07-14T11:02:04Z,1002.95,14.25,11.71,38.11
125,2026-07-14T11:02:05Z,1002.92,14.25,9.97,37.92
126,2026-07-14T11:02:06Z,1002.86,14.25,7.97,36.19
127,2026-07-14T11:02:07Z,1002.82,14.25,5.79,35.74
128,2026-07-14T11:02:08Z,1002.77,14.25,4.08,34.45
129,2026-07-14T11:02:09Z,1002.73,14.25,1.78,36.84
130,2026-07-14T11:02:10Z,1002.70,14.25,0.00,43.01
131,2026-07-14T11:02:11Z,1002.65,14.25,0.00,34.50
132,2026-07-14T11:02:12Z,1002.62,16.00,0.00,35.99
133,2026-07-14T11:02:13Z,1002.59,16.00,0.00,36.09
134,2026-07-14T11:02:14Z,1002.56,16.00,0.00,27.11
135,2026-07-14T11:02:15Z,1002.53,16.00,0.00,36.37
136,2026-07-14T11:02:16Z,1002.49,16.00,0.00,35.76
137,2026-07-14T11:02:17Z,1002.48,16.00,0.00,31.99
138,2026-07-14T11:02:18Z,1002.45,16.00,0.00,30.84
139,2026-07-14T11:02:19Z,1002.43,16.00,0.00,37.91
140,2026-07-14T11:02:20Z,1002.41,16.00,0.00,33.52
141,2026-07-14T11:02:21Z,1002.40,16.00,2.40,38.07
142,2026-07-14T11:02:22Z,1002.39,16.00,4.40,34.35
143,2026-07-14T11:02:23Z,1002.40,16.00,6.68,30.98
144,2026-07-14T11:02:24Z,1002.39,16.00,8.71,39.94
145,2026-07-14T11:02:25Z,1002.38,16.00,10.50,35.05
146,2026-07-14T11:02:26Z,1002.37,16.00,13.15,33.86
147,2026-07-14T11:02:27Z,1002.38,16.00,11.51,35.87
148,2026-07-14T11:02:28Z,1002.37,16.00,9.47,30.80
149,2026-07-14T11:02:29Z,1002.35,16.00,8.01,36.91
150,2026-07-14T11:02:30Z,1002.37,16.00,6.43,31.62
151,2026-07-14T11:02:31Z,1002.36,16.00,4.70,26.79
152,2026-07-14T11:02:32Z,1002.36,16.00,5.71,36.15
153,2026-07-14T11:02:33Z,1002.38,16.00,6.52,30.83
154,2026-07-14T11:02:34Z,1002.38,16.00,6.70,32.08
155,2026-07-14T11:02:35Z,1002.39,16.00,7.64,27.04
156,2026-07-14T11:02:36Z,1002.40,16.00,8.12,27.55
157,2026-07-14T11:02:37Z,1002.41,16.00,8.70,28.03
158,2026-07-14T11:02:38Z,1002.43,25.00,9.73,28.92
159,2026-07-14T11:02:39Z,1002.45,25.00,9.94,28.75
160,2026-07-14T11:02:40Z,1002.47,25.00,10.58,26.73
161,2026-07-14T11:02:41Z,1002.48,25.00,11.50,26.35
162,2026-07-14T11:02:42Z,1002.48,25.00,12.03,36.19
163,2026-07-14T11:02:43Z,1002.47,25.00,12.17,28.49
164,2026-07-14T11:02:44Z,1002.50,25.00,11.76,26.17
165,2026-07-14T11:02:45Z,1002.51,25.00,11.95,24.89
166,2026-07-14T11:02:46Z,1002.52,25.00,11.81,31.02
167,2026-07-14T11:02:47Z,1002.52,25.00,12.31,26.66
168,2026-07-14T11:02:48Z,1002.53,25.00,12.20,20.93
169,2026-07-14T11:02:49Z,1002.54,25.00,11.93,29.46
170,2026-07-14T11:02:50Z,1002.56,25.00,11.96,22.20
171,2026-07-14T11:02:51Z,1002.55,25.00,11.98,25.70
