elapsed_s,timestamp,pressure_hpa,gps_accuracy_m,gps_speed_mps,mag_ut
1,2026-07-14T12:00:01Z,1002.46,14.25,4.01,27.13
2,2026-07-14T12:00:02Z,1002.47,14.25,4.22,28.89
3,2026-07-14T12:00:03Z,1002.51,14.25,3.67,31.05
4,2026-07-14T12:00:04Z,1002.51,14.25,3.73,30.09
5,2026-07-14T12:00:05Z,1002.51,14.25,3.16,30.64
6,2026-07-14T12:00:06Z,1002.51,14.25,3.11,27.61
7,2026-07-14T12:00:07Z,1002.51,14.25,2.24,31.76
8,2026-07-14T12:00:08Z,1002.49,14.25,2.02,34.93
9,2026-07-14T12:00:09Z,1002.48,25.00,1.65,33.09
10,2026-07-14T12:00:10Z,1002.47,25.00,0.96,31.27
11,2026-07-14T12:00:11Z,1002.46,25.00,0.68,38.99
12,2026-07-14T12:00:12Z,1002.44,25.00,0.00,34.77
13,2026-07-14T12:00:13Z,1002.42,25.00,1.15,35.37
14,2026-07-14T12:00:14Z,1002.42,25.00,1.88,40.12
15,2026-07-14T12:00:15Z,1002.38,25.00,3.01,36.35
16,2026-07-14T12:00:16Z,1002.34,25.00,2.89,41.17
17,2026-07-14T12:00:17Z,1002.32,25.00,2.50,33.98
18,2026-07-14T12:00:18Z,1002.28,25.00,1.90,37.06
19,2026-07-14T12:00:19Z,1002.25,14.25,1.51,32.81
20,2026-07-14T12:00:20Z,1002.24,14.25,0.99,29.48
21,2026-07-14T12:00:21Z,1002.23,14.25,1.22,34.38
22,2026-07-14T12:00:22Z,1002.22,14.25,0.47,36.13
23,2026-07-14T12:00:23Z,1002.20,14.25,0.41,36.98
24,2026-07-14T12:00:24Z,1002.18,14.25,0.00,33.33
25,2026-07-14T12:00:25Z,1002.16,14.25,1.30,33.86
26,2026-07-14T12:00:26Z,1002.15,12.00,2.29,34.95
27,2026-07-14T12:00:27Z,1002.14,12.00,3.69,37.12
28,2026-07-14T12:00:28Z,1002.11,12.00,5.08,36.85
29,2026-07-14T12:00:29Z,1002.13,12.00,6.31,30.92
30,2026-07-14T12:00:30Z,1002.13,12.00,5.63,37.40
31,2026-07-14T12:00:31Z,1002.15,12.00,5.24,34.80
32,2026-07-14T12:00:32Z,1002.16,12.00,4.75,37.68
33,2026-07-14T12:00:33Z,1002.15,12.00,4.05,32.35
34,2026-07-14T12:00:34Z,1002.17,12.00,3.81,30.08
35,2026-07-14T12:00:35Z,1002.21,25.00,2.66,34.61
36,2026-07-14T12:00:36Z,1002.23,25.00,2.64,29.22
37,2026-07-14T12:00:37Z,1002.24,25.00,1.90,29.98
38,2026-07-14T12:00:38Z,1002.24,25.00,1.17,28.88
39,2026-07-14T12:00:39Z,1002.25,25.00,1.22,32.24
40,2026-07-14T12:00:40Z,1002.27,25.00,0.18,32.87
41,2026-07-14T12:00:41Z,1002.28,25.00,0.00,35.00
