elapsed_s,timestamp,pressure_hpa,gps_accuracy_m,gps_speed_mps,mag_ut
1,2026-07-14T11:30:01Z,1004.83,9.31,11.97,31.81
2,2026-07-14T11:30:02Z,1004.83,8.31,12.28,33.92
3,2026-07-14T11:30:03Z,1004.86,9.17,11.81,31.88
4,2026-07-14T11:30:04Z,1004.90,10.28,11.92,34.03
5,2026-07-14T11:30:05Z,1004.91,10.04,12.19,32.67
6,2026-07-14T11:30:06Z,1004.94,8.72,12.26,33.79
7,2026-07-14T11:30:07Z,1004.95,8.37,12.01,30.93
8,2026-07-14T11:30:08Z,1004.96,9.93,11.69,32.46
9,2026-07-14T11:30:09Z,1004.97,9.93,12.05,28.96
10,2026-07-14T11:30:10Z,1004.99,10.16,12.09,53.45
11,2026-07-14T11:30:11Z,1004.99,8.96,11.94,54.94
12,2026-07-14T11:30:12Z,1005.00,5.37,11.69,51.22
13,2026-07-14T11:30:13Z,1005.00,4.41,11.78,61.47
14,2026-07-14T11:30:14Z,1005.01,4.65,12.13,62.63
15,2026-07-14T11:30:15Z,1005.00,3.61,11.87,29.13
16,2026-07-14T11:30:16Z,1005.01,4.33,12.08,26.77
17,2026-07-14T11:30:17Z,1005.00,3.91,10.27,30.32
18,2026-07-14T11:30:18Z,1005.00,5.47,8.25,25.57
19,2026-07-14T11:30:19Z,1005.00,4.47,6.22,24.01
20,2026-07-14T11:30:20Z,1004.99,5.22,3.88,24.95
21,2026-07-14T11:30:21Z,1004.97,4.84,1.93,32.33
22,2026-07-14T11:30:22Z,1004.97,4.44,0.00,31.94
23,2026-07-14T11:30:23Z,1004.96,5.23,0.00,31.52
24,2026-07-14T11:30:24Z,1004.94,5.50,0.00,32.06
25,2026-07-14T11:30:25Z,1004.94,5.51,0.00,29.13
26,2026-07-14T11:30:26Z,1004.91,6.26,0.00,26.73
27,2026-07-14T11:30:27Z,1004.88,6.23,0.00,25.43
28,2026-07-14T11:30:28Z,1004.85,4.18,0.00,28.00
29,2026-07-14T11:30:29Z,1004.83,5.70,0.00,29.03
30,2026-07-14T11:30:30Z,1004.81,4.25,0.00,21.63
31,2026-07-14T11:30:31Z,1004.77,5.69,0.00,26.35
32,2026-07-14T11:30:32Z,1004.73,5.20,0.00,31.16
33,2026-07-14T11:30:33Z,1004.70,4.38,1.86,27.31
34,2026-07-14T11:30:34Z,1004.66,4.76,4.65,27.79
35,2026-07-14T11:30:35Z,1004.63,6.29,6.57,32.61
36,2026-07-14T11:30:36Z,1004.59,5.75,8.43,27.75
37,2026-07-14T11:30:37Z,1004.55,4.78,11.05,32.45
38,2026-07-14T11:30:38Z,1004.51,8.00,12.67,26.78
39,2026-07-14T11:30:39Z,1004.48,8.79,11.17,23.81
40,2026-07-14T11:30:40Z,1004.44,7.16,9.79,29.77
41,2026-07-14T11:30:41Z,1004.40,7.98,8.47,22.45
42,2026-07-14T11:30:42Z,1004.38,8.29,6.72,24.46
43,2026-07-14T11:30:43Z,1004.36,6.97,5.01,29.40
44,2026-07-14T11:30:44Z,1004.31,7.83,5.55,26.20
45,2026-07-14T11:30:45Z,1004.27,8.62,6.17,26.85
