label,city,latitude,longitude,gnss_accuracy_mean,gnss_accuracy_delta,gnss_lost_ratio,pressure_hpa,pressure_delta,pressure_variance,altitude_delta,magnetic_field_mean,magnetic_field_delta,magnetic_variance,window_duration_s
street_level,Maia,41.20264,-8.55961,14.9167,2.87769,0.03282,1003.72799,0.16968,0.01252,0.97696,27.21973,-5.90525,3.42098,7.05605
street_level,Arouca,40.93197,-8.2446,4.22819,6.62684,0.00816,1007.36204,0.99914,0.00543,6.93215,49.84445,-1.58199,0.0,125.17682
street_level,Maia,41.20193,-8.55884,18.76071,1.40239,0.01592,1006.76815,-0.01446,0.0,-0.26717,39.5281,-6.26329,10.32448,14.16336
underground,Espinho,41.01175,-8.63858,44.5658,51.06921,0.0,1004.80994,-0.40626,0.0,-4.47584,39.27278,-33.25942,324.04298,3.0
underground,Matosinhos,41.17492,-8.68676,40.15477,78.55528,0.0,1008.23665,-0.35306,0.02598,-2.91735,51.46026,-55.46061,196.0283,43.27745
underground,Oeiras,38.68714,-9.31442,22.76761,120.70264,0.54212,1003.85484,-0.65666,0.11608,-5.91311,19.46613,1.72426,0.33274,27.95479
above,Maia,41.20245,-8.55948,55.80436,81.1096,0.0,1006.6936,0.15101,0.08872,4.49089,39.80293,6.20071,291.69226,115.43115
street_level,Matosinhos,41.17202,-8.68068,15.70565,1.49291,0.02177,1012.08924,0.00126,0.0,3.41678,30.92278,-9.58195,0.0,3.0
street_level,Espinho,41.00941,-8.6397,8.56823,0.0,0.0,1003.2064,0.40737,0.01039,0.83246,37.45235,-4.90594,26.0295,3.0
underground,Vila nova de Gaia,41.12977,-8.60875,23.61169,62.65454,0.0,1006.40496,-0.37341,0.0,-3.16489,45.74153,-48.63615,242.20824,19.76875
street_level,Espinho,41.00931,-8.63927,8.90563,0.0,0.0026,997.88892,0.64471,0.0,0.97644,39.75308,0.306,0.0,20.40563
underground,Vila nova de Gaia,41.12272,-8.60598,42.53522,0.0,0.42814,1003.95664,-0.56356,0.17518,-4.70501,31.73157,-0.23029,79.73685,125.44369
street_level,Matosinhos,41.17228,-8.68071,12.99183,0.0,0.01647,996.75446,-0.44287,0.0,-1.00482,15.11454,5.31585,0.0,3.0
