label,label_noisy,city,ground_elevation_m,pressure_hpa,pressure_delta_hpa,pressure_variance,altitude_change_m,pressure_relative_to_surface_hpa,mag_variance_total,magnetic_field_mean,magnetic_field_delta,gnss_accuracy_m,gps_accuracy_delta,gps_lost_ratio,time_of_day,weather_condition
street_level,False,OPO,11.1,1014.545,0.033,0.013663,-0.127,2.6173217079098094,0.040594,34.8,6.9805,6.87,3.17,0.0,evening,rain
underground,False,LIS,0.1,1015.167,-0.0604,0.092518,-3.476,1.9289205181145235,0.983669,188.5385,1.7674,105.21,17.69,0.865,evening,clear
underground,False,OPO,16.7,1012.189,-0.2761,0.027904,-2.133,0.9277839078358738,0.53596,61.8305,-12.6107,118.74,50.58,0.993,evening,rain
street_level,False,LIS,48.8,1007.225,-0.4295,0.010818,1.578,-0.22441995080987454,0.019701,43.6848,2.0898,8.33,2.57,0.035,morning,rain
underground,False,LIS,21.1,1012.264,-0.1008,0.129046,-4.571,1.5261248374157503,0.455984,115.52,2.3209,52.45,32.03,0.919,evening,clear
street_level,False,LIS,17.1,1010.354,0.1787,0.001054,-0.62,-0.8596284487717867,0.032088,50.4739,-4.2309,3.38,0.45,0.032,night,clear
street_level,False,OPO,73.1,1006.426,0.1451,0.02282,0.469,1.8525871984137439,0.04765,40.1527,-4.2395,9.63,1.77,0.004,night,rain
street_level,False,OPO,71.5,1003.869,0.1784,0.007097,-2.028,-0.8935267718112527,0.039256,40.0137,1.4682,18.69,4.21,0.122,afternoon,rain
above,False,OPO,88.3,1000.7,0.1338,0.045888,6.088,-2.078604417416045,0.137607,,0.29,20.46,27.65,0.592,afternoon,clear
street_level,False,OPO,64.5,1005.408,0.0548,0.037893,-0.081,-0.18231907331642105,0.043738,32.5339,0.2382,7.88,1.04,0.01,night,clear
above,False,OPO,59.3,1003.586,-0.0594,0.102111,6.79,-2.6196919516140724,0.035941,50.5499,1.8706,44.35,30.42,0.7,morning,clear
street_level,False,LIS,23.9,1010.745,-0.0958,0.027753,1.142,0.3400189518990828,0.010767,40.2527,1.2517,6.78,2.13,0.011,evening,clear
street_level,False,OPO,69.1,1005.641,-0.0456,0.014299,-3.149,0.5947355183672016,0.050769,80.6398,5.0472,7.7,2.3,0.037,afternoon,clear
