session_id,window_duration_s,pressure_hpa,pressure_delta_hpa,pressure_variance,altitude_change_m,city_baseline_pressure,mag_x,mag_y,mag_z,mag_variance_total,mag_distortion_score,gnss_accuracy_m,hdop,satellite_count,gnss_signal_drop,weather_condition,time_of_day,label_ground_truth
59fdd284-d54f-464a-a776-7c62425b2508,60.0,1000.131,-0.3562,0.533088,2.956,1000.487,13.0141,-6.3706,11.3008,104.48032,0.8419,7.65,2.54,12,False,clear,morning,above
ce6799dd-b356-4ad5-bfce-0ca9992723dc,60.0,1001.364,-0.7304,0.283181,6.062,1002.094,21.6638,-27.2649,45.6355,101.641219,0.5936,10.34,0.58,11,False,rain,afternoon,above
2928432c-aa35-40c7-aa1a-75f0b179f49c,60.0,993.153,1.3311,0.563175,-11.048,991.821,36.3799,31.6747,57.9046,24.797542,0.1827,40.41,9.56,0,True,clear,morning,street_level
9be8df0c-8c20-4a31-b3d0-f5cddb75f72f,60.0,994.894,-0.2819,0.122614,2.34,995.176,6.7911,-26.9583,42.0164,39.772866,0.2542,13.87,1.46,8,False,overcast,morning,above
1c7462bf-4885-4ace-b64c-688161a47654,60.0,1011.275,-1.1867,0.453429,9.849,1012.462,36.4947,-12.666,33.8443,87.358308,0.8387,8.96,1.38,7,False,rain,morning,above
cdf22036-4f72-4d9c-a49c-e1c22713d1fb,60.0,999.498,0.3931,0.07611,-3.263,999.105,32.3285,-8.6943,35.5149,79.188906,0.7387,11.71,4.35,0,False,clear,afternoon,street_level
11507a4c-5f2d-4c42-b091-1a05a6452404,60.0,998.966,0.164,0.357787,-1.361,998.802,24.7177,10.5779,42.6333,12.872596,0.3495,16.01,3.74,13,False,overcast,morning,street_level
5051fc97-258e-47f3-bf90-ebb93d0663ac,60.0,1014.202,-0.889,0.509007,7.379,1015.091,17.5091,-6.7759,9.6653,-1.379401,0.7364,8.02,1.71,15,False,clear,night,above
fdce7179-96b6-4cdd-8697-230d0c3d3204,60.0,1009.708,0.0237,0.04525,-0.197,1009.685,24.5232,-10.5207,22.4698,8.912022,0.2022,46.2,17.85,2,True,rain,evening,street_level
838b5cc3-28f9-4b1e-b0b7-2ffe89300c88,60.0,1017.483,-0.1149,0.043269,0.953,1017.598,33.8474,15.5991,53.1038,46.041915,0.0794,4.95,2.12,9,False,clear,night,street_level
